Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  01:00:00,373741823.645702,96423050.2963159,12237881.9678225,47881029.0218142,20994265.0255795,57560002.1241495,238267766.337548,227497536.833404,10698229.5041434,72000. 
 01/02  02:00:00,348813428.335539,77670766.037436,6066949.10023861,47480461.9432486,20994265.0255795,57560002.1241495,197113380.507047,186343151.002904,10698229.5041434,72000. 
 01/02  03:00:00,410649352.106627,97088457.546795,8479422.63433776,65647103.7476,20994265.0255795,57560002.1241495,246627419.755239,235857190.251096,10698229.5041434,72000. 
 01/02  04:00:00,357621256.7159,77670766.037436,6441035.0641634,55368708.9915624,20994265.0255795,57560002.1241495,201419853.304073,190649623.799929,10698229.5041434,72000. 
 01/02  05:00:00,520908578.779723,114842630.929956,16647295.2172105,60692628.9662125,62982795.0767386,89788949.5058732,290551185.211649,272648802.704743,17830382.5069056,72000. 
 01/02  06:00:00,621413881.437307,113212920.364956,27964919.741233,156915438.085735,62982795.0767386,89788949.5058732,437490076.284554,419587693.777648,17830382.5069056,72000. 
 01/02  07:00:00,877155809.076094,116818752.13012,41775724.1828545,157905046.902756,125965590.153477,254590425.297461,470559950.156181,434827185.142369,35660765.0138112,72000. 
 01/02  08:00:00,934015487.05349,117192866.971189,46900609.3965025,113681947.867618,188948385.230216,332617458.264494,432168865.183639,396436100.169828,35660765.0138112,72000. 
 01/02  09:00:00,934339191.253417,117319536.197658,49861128.0053564,99212107.4920271,188948385.230216,375965809.912845,412789374.285008,377056609.271197,35660765.0138112,72000. 
 01/02  10:00:00,964517914.999133,117427786.530966,53428502.8003745,87976998.0293778,188948385.230216,419314161.561197,425823072.689581,358293897.125485,35660765.0138112,31868410.5502843 
 01/02  11:00:00,957848676.722654,117527458.346873,58223039.9921777,78394126.6012089,188948385.230216,419314161.561197,374406785.834966,338674020.821154,35660765.0138112,72000. 
 01/02  12:00:00,950735922.374824,117613784.850922,60875870.3397578,69736339.6725201,188948385.230216,419314161.561197,396614355.498172,329052106.098709,35660765.0138112,31901484.3856523 
 01/02  13:00:00,899639449.634689,117691569.268083,61210837.1738209,62882222.3207252,188948385.230216,375965809.912845,359530430.788981,323797665.77517,35660765.0138112,72000. 
 01/02  14:00:00,910671244.632755,117772365.410345,56664421.5505657,59853162.5169823,188948385.230216,419314161.561197,391875779.089432,324313147.398758,35660765.0138112,31901866.6768636 
 01/02  15:00:00,894566855.057732,117840616.982493,51794118.0001029,58454084.395393,188948385.230216,419314161.561197,403741030.081853,336185974.056171,35660765.0138112,31894291.0118713 
 01/02  16:00:00,893416820.684734,117904779.696221,54214240.1191951,56055402.615022,188948385.230216,419314161.561197,365739600.693371,330006835.679559,35660765.0138112,72000. 
 01/02  17:00:00,936722235.845467,117961748.969285,56818394.9229174,55051987.9503745,188948385.230216,419314161.561197,389140305.906994,321612238.157848,35660765.0138112,31867302.7353346 
 01/02  18:00:00,952833982.724009,118010291.141125,53608280.4445147,55349310.6802059,188948385.230216,419314161.561197,363591188.930777,327858423.916966,35660765.0138112,72000. 
 01/02  19:00:00,570899079.411389,112347353.740659,35694328.2030016,1545479.98749185,125965590.153477,171283850.604774,226454089.469033,208551706.962128,17830382.5069056,72000. 
 01/02  20:00:00,577686301.017155,114842630.929956,36277642.6522727,5593206.61152717,125965590.153477,171283850.604774,227920065.712286,210017683.205381,17830382.5069056,72000. 
 01/02  21:00:00,467978464.970564,110406582.593429,35248750.4294594,7992458.66806288,62982795.0767386,139281128.075122,248921756.070541,238151526.566398,10698229.5041434,72000. 
 01/02  22:00:00,403237198.40195,95424939.4205971,31342251.1893748,17310401.4237646,62982795.0767386,97440485.640633,216128073.489355,205357843.985212,10698229.5041434,72000. 
 01/02  23:00:00,307780791.303038,79334284.1636338,21348706.973866,33040186.4838238,20994265.0255795,57560002.1241495,182801068.784196,172030839.280053,10698229.5041434,72000. 
 01/02  24:00:00,340709131.350647,95424939.4205972,22532278.8333984,33591772.773514,20994265.0255795,57560002.1241495,232353043.96496,221582814.460817,10698229.5041434,72000. 
 01/03  01:00:00,322473810.896408,79334284.1636338,17258130.3127159,47693487.7514147,20994265.0255795,57560002.1241495,222692899.137675,180241472.336167,10698229.5041434,31753197.2973642 
 01/03  02:00:00,347960200.856534,95424939.4205972,21579935.840787,43222419.3955087,20994265.0255795,57560002.1241495,239260353.864246,228490124.360103,10698229.5041434,72000. 
 01/03  03:00:00,330983216.731149,79334284.1636338,17614194.9371546,57076958.7901581,20994265.0255795,57560002.1241495,195577046.081177,184806816.577033,10698229.5041434,72000. 
