Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,49616244.4008275,7847714.65116244,0.0,0.0,6039267.11288194,20077200.,267690828.049065,248348925.197657,10803960.,8537942.85140818 
 01/01  02:00:00,35265428.6521013,0.0,0.0,0.0,2013089.03762731,18000000.,10875960.,0.0,10803960.,72000. 
 01/01  03:00:00,38255343.7100641,3053002.16369156,0.0,0.0,2013089.03762731,18000000.,88883401.789342,75895228.1389074,10803960.,2184213.65043464 
 01/01  04:00:00,39703578.6968631,4552475.95320665,0.0,0.0,2013089.03762731,18000000.,133641621.552644,122765661.552644,10803960.,72000. 
 01/01  05:00:00,40257307.6897334,4664585.12289521,0.0,0.0,2013089.03762731,18000000.,152848400.993669,139860110.056298,10803960.,2184330.93737064 
 01/01  06:00:00,50019374.7381564,7847714.65116244,0.0,0.0,6039267.11288194,20077200.,299927267.195255,283649327.195255,16205940.,72000. 
 01/01  07:00:00,101610531.715207,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,305210201.863979,250177641.969449,48617820.,6414739.89453088 
 01/01  08:00:00,93428109.114096,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,313968419.094912,231925207.316432,75627720.,6415491.77848048 
 01/01  09:00:00,72760728.3026102,7847714.65116244,0.0,0.0,12078534.2257639,47077200.,282862046.13399,224540631.637438,54019800.,4301614.49655266 
 01/01  10:00:00,72795543.8213113,7847714.65116244,0.0,0.0,12078534.2257639,47077200.,265915327.263482,205478786.140013,54019800.,6416741.12346865 
 01/01  11:00:00,90784515.7640914,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,314504632.531456,176499281.796256,118843560.,19161790.7351999 
 01/01  12:00:00,94955795.2412388,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,310165853.612969,147278173.690963,145853460.,17034219.9220061 
 01/01  13:00:00,91575125.7881174,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,272266235.238976,129833505.918831,129647520.,12785209.320145 
 01/01  14:00:00,90853139.9679097,7847714.65116244,0.0,0.0,12078534.2257639,65077200.,250806178.025576,122458518.016503,113441580.,14906080.0090727 
