Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/03  24:00:00,511477656.8,524727241.5,0,903118.4295,7082939.204,0,481512194.8
 01/04  01:00:00,348972105.7,545005259.1,0,199655.6386,5520164.01,0,455641854.1
 01/04  02:00:00,326257111.1,559456941,0,0,4348821.188,0,58558933.05
 01/04  03:00:00,304593313.3,570463864,0,0,4130851.111,0,58512899.35
 01/04  04:00:00,304529787.3,578795797.3,0,0,4348759.783,0,58512858.82
 01/04  05:00:00,340951760.6,583779082.3,0,2430642.969,5520419.203,0,71327518.4
 01/04  06:00:00,427120829.8,575318400.1,0,2791374.282,7002321.342,0,116478682.5
 01/04  07:00:00,759183627,538838767.1,0,3680728.342,13575510.3,0,193940451.7
 01/04  08:00:00,868876768,509896532.4,0,0,16404934.83,0,250161639.1
 01/04  09:00:00,717147859.9,513376985,0,0,15015862.27,0,240556356.9
 01/04  10:00:00,631893072.4,305739387.4,0,0,12319443.31,0,153319423.8
 01/04  11:00:00,397604312.2,379440275.1,0,0,11087245.74,0,119392661.3
 01/04  12:00:00,405818397,396984049.7,0,561609.7051,12319443.48,0,116515549.8
 01/04  13:00:00,404542448.5,389244985.7,0,1141607.032,10980966.88,0,100133227.2
 01/04  14:00:00,398015514.6,395496939.1,0,0,9571593.939,0,114276994.9
 01/04  15:00:00,397705444.6,441774798.4,0,0,8328725.562,0,86944436.94
 01/04  16:00:00,401501520.4,452900830.2,0,0,8328733.584,0,86922317.72
 01/04  17:00:00,577468907.5,741778473.6,0,0,8328822.795,0,98565214.24
 01/04  18:00:00,704879016.5,721399945.5,0,0,10861165.86,0,510413591.4
 01/04  19:00:00,904159531.9,626302330.2,0,1843040.592,15028349.8,0,586608050.3
 01/04  20:00:00,955168109.1,575552326.2,0,2643087.734,16336214.5,0,581725089.2
 01/04  21:00:00,1017155491,518380577.6,0,2514824.132,13772027.82,0,548122699.1
 01/04  22:00:00,942653262.9,488907069.4,0,2011205.569,15100288.57,0,590929519.2
 01/04  23:00:00,733624818.7,544094720.9,0,402243.2954,12336774.28,0,579741001.8
 01/04  24:00:00,515303162.4,656158935.7,0,0,6838388.124,0,481419878.5
 01/05  01:00:00,358820859.5,656875768.3,0,199607.4275,5529046.435,0,456070007.8
 01/05  02:00:00,335966671.6,659150035.6,0,0,4342365.823,0,58554343.91
 01/05  03:00:00,314480091.6,665933197.5,0,0,4315861.473,0,58517660.45
 01/05  04:00:00,317637273.5,679140774.2,0,0,4163375.452,0,58517729.95
 01/05  05:00:00,347918444.5,755884511.2,0,0,5564670.612,0,71338965.79
 01/05  06:00:00,440062250.8,825369803.5,0,0,7038605.246,0,116502071.3
 01/05  07:00:00,767189851.6,793147974.7,0,0,13695541.95,0,194024330
 01/05  08:00:00,883212700.6,985367277,0,0,16405296.19,0,251632392.7
 01/05  09:00:00,727365648.3,921933213.4,0,0,14939574.51,0,239484095.5
 01/05  10:00:00,634698767,586559860.8,0,0,12344695.08,0,153380883.5
 01/05  11:00:00,401751244.4,605442726.1,0,0,10919150.63,0,119419553.5
