Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  14:00:00,126299543.8,114937701.9,0,0,6573302.697,0
 01/04  15:00:00,135822032.7,120296708.7,0,0,6401552.253,0
 01/04  16:00:00,153409815.2,127653377.3,0,0,6573115.456,0
 01/04  17:00:00,159683103.5,202765625.5,0,0,3781879.446,0
 01/04  18:00:00,120151828,345526604.4,0,0,2367131.594,0
 01/04  19:00:00,50625418.61,267673274.3,0,23483.65629,1731600,0
 01/04  20:00:00,51882649.89,303819847.6,0,16660.35678,1731600,0
 01/04  21:00:00,50456464.2,275901731.5,0,15024.25397,1731600,0
 01/04  22:00:00,52190370.96,355107278.5,0,36005.02416,2358650.283,0
 01/04  23:00:00,51973107.78,348738662.3,0,20362.29787,1731600,0
 01/04  24:00:00,50463633.54,286977360.8,0,20513.85556,1731600,0
 01/05  01:00:00,44598625.97,351616421.3,0,38068.252,1731600,0
 01/05  02:00:00,44967818.54,328101347.5,0,21726.39955,1731600,0
 01/05  03:00:00,44097825.94,239163047.3,0,21112.40382,2358629.276,0
 01/05  04:00:00,44533284.5,297488749.7,0,41609.50636,1731600,0
 01/05  05:00:00,44970664.06,405551305.4,0,17068.11777,1731600,0
 01/05  06:00:00,43622490.65,428720350.8,0,12548.89858,1731600,0
 01/05  07:00:00,52567688.54,545546266,0,0,2367190.31,0
 01/05  08:00:00,102556500.2,589009114.3,0,0,2376712.574,0
 01/05  09:00:00,141901878.1,590367408.7,0,0,4553376.442,0
 01/05  10:00:00,146746301.4,388641785,0,0,4646856.826,0
 01/05  11:00:00,144794774.3,271818942.1,0,0,4971280.517,0
 01/05  12:00:00,142072353.5,245020291.6,0,0,6058208.408,0
 01/05  13:00:00,119459435.9,240145204.2,0,0,7599521.645,0
 01/05  14:00:00,143653173.9,168582088.7,0,0,6575032.439,0
 01/05  15:00:00,147373632.2,187420905.2,0,0,6403152.294,0
 01/05  16:00:00,156040991.5,261656552.9,0,0,6575302.76,0
 01/05  17:00:00,160848523.2,367543314.8,0,0,3781871.24,0
 01/05  18:00:00,120313478.8,421687500.9,0,0,2367161.626,0
 01/05  19:00:00,50694780.76,317674261.7,0,4888.342411,1731600,0
 01/05  20:00:00,51942370.26,355851326.4,0,13862.42721,1731600,0
 01/05  21:00:00,50483358.95,333204561.2,0,15083.46866,1731600,0
 01/05  22:00:00,51582245.49,384823607.9,0,34934.23005,1731600,0
 01/05  23:00:00,52561785.36,371827244.8,0,17632.94796,2358623.325,0
 01/05  24:00:00,50476209.44,336233203.1,0,17513.04806,1731600,0
 01/06  01:00:00,44636393.36,429421336.9,0,34635.28077,1731600,0
 01/06  02:00:00,45075741.98,424659169,0,17357.275,1731600,0
 01/06  03:00:00,43538919.2,348333098.4,0,17269.97712,1731600,0
 01/06  04:00:00,45249552.36,408691857.2,0,34379.1589,2358676.519,0
 01/06  05:00:00,45000857.63,412381300.9,0,12524.44038,1731600,0
 01/06  06:00:00,43534609.03,368844968.9,0,12512.66604,1731600,0
 01/06  07:00:00,52530152.3,500932993.2,0,0,2367489.666,0
 01/06  08:00:00,102327511.6,474999087,0,0,2376439.73,0
 01/06  09:00:00,140230660.3,488179023.1,0,0,4398239.035,0
 01/06  10:00:00,144682789.5,351856478.8,0,0,4807373.418,0
 01/06  11:00:00,128937397,269787707,0,0,4648229.438,0
 01/06  12:00:00,124544920.5,278836268.2,0,0,6404660.925,0
 01/06  13:00:00,100538442.8,245823698.6,0,0,7602231.981,0
 01/06  14:00:00,132015990.6,255838295.3,0,0,6577551.495,0
 01/06  15:00:00,138579056.9,247158625.2,0,0,6404949.129,0
 01/06  16:00:00,150685344.9,258066355.6,0,0,6577641.887,0
 01/06  17:00:00,160990068.3,404061177,0,0,3782298.598,0
 01/06  18:00:00,120392792.4,491404829.6,0,0,2178711.269,0
 01/06  19:00:00,51245565.54,443402925.7,0,33329.45282,1917202.88,0
 01/06  20:00:00,51524044.07,510857786.4,0,13983.52479,1731600,0
 01/06  21:00:00,51017637.81,404919404,0,34751.07196,1731600,0
 01/06  22:00:00,51564946.46,496980605.4,0,13674.62085,1731600,0
 01/06  23:00:00,51512158.15,534355896.3,0,4757.732406,1731600,0
 01/06  24:00:00,51747949.1,509596684.5,0,11137.66684,2358636.321,0
 01/07  01:00:00,37367524.81,582868697.9,0,6048.909282,1731600,0
 01/07  02:00:00,37342603.02,555237615.8,0,6097.523707,1731600,0
 01/07  03:00:00,37335276.16,485211508.5,0,11895.243,2361213.242,0
 01/07  04:00:00,37267301.62,579264267.4,0,6634.369073,1731600,0
 01/07  05:00:00,37393173.14,568203189,0,6848.690095,1731600,0
 01/07  06:00:00,37318485.02,505298831.5,0,13359.00224,2361246.128,0
 01/07  07:00:00,44175710.57,537787481.1,0,6467.585743,1731600,0
 01/07  08:00:00,27396897.07,531602236.1,0,6552.768145,1731600,0
 01/07  09:00:00,21894116.93,468856631,0,13392.47015,2361283.964,0
 01/07  10:00:00,20671853.82,482073981.2,0,6350.11807,1731600,0
 01/07  11:00:00,21081534.33,404269087.6,0,5705.139854,2361324.507,0
 01/07  12:00:00,19907692.63,283015782.4,0,34083.76553,1731600,0
 01/07  13:00:00,20398523.18,282197304.9,0,21522.76989,1731600,0
 01/07  14:00:00,20851178.29,283877788.3,0,19220.38574,2361244.285,0
 01/07  15:00:00,20632187.94,269001957.4,0,33226.55609,1731600,0
 01/07  16:00:00,21357979.15,388800309.2,0,14233.06383,1731600,0
 01/07  17:00:00,33591371.38,505120425.4,0,13604.92071,2361258.472,0
 01/07  18:00:00,43664237.61,455440995.6,0,0,1731600,0
 01/07  19:00:00,44220269.15,520042822.1,0,5265.198478,1731600,0
 01/07  20:00:00,44752704.95,491675556.4,0,5326.721338,2361220.239,0
 01/07  21:00:00,43606446.65,423431145.5,0,0,1731600,0
 01/07  22:00:00,44174267.34,492417759.4,0,5345.887472,1731600,0
 01/07  23:00:00,44700416.51,472467079.5,0,5385.876221,2361217.62,0
 01/07  24:00:00,43586907.46,415715396.3,0,2822.934126,1731600,0
 01/08  01:00:00,44587935.37,469857123.8,0,5384.850329,1731600,0
 01/08  02:00:00,44486508.92,476585623.1,0,5514.814923,1731600,0
 01/08  03:00:00,44677655.96,430211576.7,0,11261.29977,2358560.858,0
 01/08  04:00:00,44598509.3,481537596.2,0,5668.545357,1731600,0
 01/08  05:00:00,44488553.41,483372746.4,0,5696.377467,1731600,0
 01/08  06:00:00,44057046.09,440460849.9,0,11561.49176,1731600,0
 01/08  07:00:00,52519956.72,504359662.4,0,0,2367475.379,0
 01/08  08:00:00,102268250.8,516675116,0,0,2376849.681,0
 01/08  09:00:00,144025771.8,450678576.3,0,0,4554996.834,0
 01/08  10:00:00,146683489.6,349828940.7,0,0,4648892.925,0
 01/08  11:00:00,134425226.8,306984022.8,0,0,5362358.22,0
 01/08  12:00:00,127899062,248577391.7,0,0,5646211.885,0
 01/08  13:00:00,110618384.1,262003888.8,0,0,7607975.54,0
 01/08  14:00:00,141725834,296591616.3,0,0,6580826.27,0
 01/08  15:00:00,153816397.8,347789084.8,0,0,6407679.059,0
 01/08  16:00:00,157410354,340200120.9,0,0,6580665.612,0
 01/08  17:00:00,155201385.9,376706695,0,0,3782604.124,0
 01/08  18:00:00,120375799.1,477870431.1,0,0,2367181.913,0
 01/08  19:00:00,50785451.61,336631188.4,0,26640.16374,1731600,0
 01/08  20:00:00,51350377.21,367099337.7,0,11607.2001,1731600,0
 01/08  21:00:00,51086157.13,318672110.1,0,30297.84935,1844236.414,0
 01/08  22:00:00,52018698.59,396745916.1,0,13870.46334,2245959.949,0
 01/08  23:00:00,51516684.72,464688321.3,0,13736.24239,1731600,0
 01/08  24:00:00,51082342.64,413871167.6,0,19758.13993,1731600,0
 01/09  01:00:00,44642708.4,452278701.5,0,9860.75229,1731600,0
 01/09  02:00:00,44743956.7,483479932.2,0,0,1877469.661,0
 01/09  03:00:00,44592165.75,425081923.9,0,0,2212803.445,0
 01/09  04:00:00,44650146.31,460216563.7,0,0,1731600,0
 01/09  05:00:00,44592342.67,453489617.6,0,0,1731600,0
 01/09  06:00:00,44093553.97,404909840.3,0,0,1731600,0
 01/09  07:00:00,52557687.44,477595993.6,0,0,2367337.805,0
 01/09  08:00:00,102269150,500116969.7,0,0,2376696.643,0
 01/09  09:00:00,138256677.6,499039936.7,0,0,4555180.587,0
 01/09  10:00:00,129909214.4,297716958.4,0,0,4649646.895,0
 01/09  11:00:00,114900144.4,211129351.2,0,0,5380027.389,0
 01/09  12:00:00,114424206.7,140903199.5,0,0,5628985.795,0
 01/09  13:00:00,94417163.77,137216121.5,0,0,7610202.191,0
 01/09  14:00:00,128573143.3,111389173.4,0,0,6666187.354,0
 01/09  15:00:00,142653733.6,109643835.5,0,0,6328858.129,0
 01/09  16:00:00,153361932.5,116930301.6,0,0,6597152.793,0
 01/09  17:00:00,153988884.9,182690413.7,0,0,3770764.818,0
 01/09  18:00:00,119854448.7,248777284.1,0,0,2367119.448,0
 01/09  19:00:00,49974922.33,158048103,0,0,1731600,0
 01/09  20:00:00,50862188.08,172283810.8,0,31383.5474,1731600,0
 01/09  21:00:00,51455807.44,115071540.6,0,25312.14553,2358677.437,0
 01/09  22:00:00,51339166.02,155197243.8,0,14312.27592,1731600,0
 01/09  23:00:00,51051432.93,149140880.6,0,15551.7421,1731600,0
 01/09  24:00:00,50833950.41,156891911.6,0,31652.3132,1731600,0
 01/10  01:00:00,44498149.64,240916355.1,0,17017.66328,1731600,0
 01/10  02:00:00,44876718.48,197946671.3,0,19386.93235,2358650.097,0
 01/10  03:00:00,43894670.11,144268094.6,0,36677.18652,1731600,0
 01/10  04:00:00,44436381.38,177921095.8,0,18578.37979,1731600,0
 01/10  05:00:00,44157983.36,189261587.2,0,18640.03545,1731600,0
 01/10  06:00:00,43917773.43,161745043.1,0,34115.35337,1731600,0
 01/10  07:00:00,52361297.6,245399625.6,0,0,2367197.728,0
 01/10  08:00:00,101578338.2,225923163.2,0,0,2376622.964,0
 01/10  09:00:00,138919123.2,179548626.7,0,0,4555754.562,0
 01/10  10:00:00,144826036,122706892,0,0,4650453.812,0
 01/10  11:00:00,136023215.3,102745929,0,0,5380378.018,0
 01/10  12:00:00,129396887,87997708.8,0,0,5792451.455,0
 01/10  13:00:00,111203730.7,97845035.65,0,0,7437642.389,0
 01/10  14:00:00,138131810.1,75462160.43,0,0,7060000.86,0
 01/10  15:00:00,148417308.7,80324730.15,0,0,5952394.165,0
 01/10  16:00:00,154703708.7,100995394.6,0,0,6963362.303,0
 01/10  17:00:00,153095003.7,146995776.5,0,0,3462412.66,0
 01/10  18:00:00,118634749.2,197952185.4,0,0,2367156.85,0
 01/10  19:00:00,49309805.5,93168508.8,0,5212.408624,1731600,0
 01/10  20:00:00,50722589.63,150750940.9,0,31401.01345,1731600,0
 01/10  21:00:00,51448825.61,155864035.7,0,24478.07069,2358646.042,0
 01/10  22:00:00,51390068.09,219327958.8,0,15512.59018,1731600,0
 01/10  23:00:00,51151363.25,222466579.9,0,16407.34086,1731600,0
 01/10  24:00:00,50892105.16,205778006.9,0,34925.45944,1731600,0
 01/11  01:00:00,44505336.88,249924295.8,0,18242.98191,1731600,0
 01/11  02:00:00,44912350.07,255939336.8,0,18367.00199,2358579.401,0
 01/11  03:00:00,43983804.8,211363094,0,37934.14204,1731600,0
 01/11  04:00:00,44491539.25,196883006.6,0,20044.48715,1731600,0
 01/11  05:00:00,44146477.8,188557803.5,0,19316.25671,1731600,0
 01/11  06:00:00,43931982.22,179341225.2,0,36175.21637,1731600,0
 01/11  07:00:00,52368233.58,224675378.4,0,0,2367361.84,0
 01/11  08:00:00,101536677.4,222476936.6,0,0,2376675.096,0
 01/11  09:00:00,138085243.9,250947618.4,0,0,4556314.853,0
 01/11  10:00:00,130352154.6,162613505.6,0,0,4651154.587,0
 01/11  11:00:00,128128265.5,134823584.4,0,0,5380894.137,0
 01/11  12:00:00,127955928.7,114911004.6,0,0,6011332.728,0
 01/11  13:00:00,103508402.1,117315056.5,0,0,7205452.284,0
 01/11  14:00:00,136005571.3,82737873.68,0,0,7364054.5,0
 01/11  15:00:00,149718008.5,72837299.31,0,0,5661900.457,0
 01/11  16:00:00,156176145.5,88299471.35,0,0,7255939.493,0
 01/11  17:00:00,152640945.6,134201221.2,0,0,3217143.526,0
 01/11  18:00:00,118503909.3,175558869.6,0,0,2367187.352,0
 01/11  19:00:00,48869491.89,76592322.93,0,0,1731600,0
 01/11  20:00:00,50081155.95,103017631.4,0,36216.98863,1731600,0
 01/11  21:00:00,50881595.39,86455218.05,0,16301.54101,2358696.403,0
 01/11  22:00:00,51396965.11,143561577.3,0,39029.2014,1731600,0
 01/11  23:00:00,51656838.62,166416402.4,0,22349.59012,1731600,0
 01/11  24:00:00,50347555.42,125839862.4,0,17385.48714,1731600,0
 01/12  01:00:00,44496274.72,170219606.2,0,37571.17079,1731600,0
 01/12  02:00:00,45388703.72,163808983.2,0,19502.5728,2358667.406,0
 01/12  03:00:00,43422438.15,131835745.3,0,19842.75341,1731600,0
 01/12  04:00:00,44500912.35,149007641.7,0,39101.07417,1731600,0
 01/12  05:00:00,44723146.56,138738187.8,0,19440.23083,1731600,0
 01/12  06:00:00,43415285.99,127654841.6,0,19832.00728,1731600,0
 01/12  07:00:00,52392043.17,231512781.1,0,0,2367572.989,0
 01/12  08:00:00,101733205.7,240018321,0,0,2376745.248,0
 01/12  09:00:00,136100289.1,184423162.5,0,0,4556760.984,0
 01/12  10:00:00,143441175,134345926.3,0,0,4651812.817,0
 01/12  11:00:00,130238696.4,126087015.5,0,0,5381427.084,0
 01/12  12:00:00,124945257.1,115955149.1,0,0,6190983.59,0
 01/12  13:00:00,97666844.7,132838417.5,0,0,7018013.2,0
 01/12  14:00:00,126100298,112931758.9,0,0,7395142.871,0
