Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  06:00:00,65871848.69,356848100.4,0,0,186757.1304,0,2577600
 01/04  07:00:00,78944512.32,277172432.7,0,0,4351402.106,0,19471775.8
 01/04  08:00:00,89997278.94,251609038.8,0,0,16355700.21,0,71418973.12
 01/04  09:00:00,95884048,241534091.4,0,0,15073884.93,0,75732845.19
 01/04  10:00:00,100389074,230699342.8,0,0,12363377.11,0,63752504.68
 01/04  11:00:00,116845193.8,227825446.9,0,0,10836600.77,0,61607036.8
 01/04  12:00:00,130031837.8,212157766.6,0,0,12361598.22,0,56697750.18
 01/04  13:00:00,119740425.2,193568225.3,0,0,11035352.42,0,57962807.44
 01/04  14:00:00,112592131.5,193050015.8,0,0,9755729.825,0,50186937.89
 01/04  15:00:00,105579218.7,207781527.4,0,0,8235083.72,0,39524618
 01/04  16:00:00,108798564,216950144.9,0,0,8228065.081,0,39389491.56
 01/04  17:00:00,125357481.4,232282023.4,0,0,8276838.264,0,48597862.18
 01/04  18:00:00,131269799.4,244005446.9,0,0,11093750.35,0,51373943.24
 01/04  19:00:00,129574279.8,254081086.4,0,0,15088745.59,0,75528837.36
 01/04  20:00:00,125836770.9,261362665.7,0,0,16401763.88,0,82884760.03
 01/04  21:00:00,117159224.7,256858736.7,0,0,13603396.91,0,66091544.68
 01/04  22:00:00,112415909.2,266811210.6,0,0,14951504.41,0,78199086.84
 01/04  23:00:00,76290591.69,287004505.4,0,0,12365838.23,0,63561107.46
 01/04  24:00:00,53422355.84,313174603.9,0,0,7056291.74,0,38572365.84
 01/05  01:00:00,45775631.31,285376276.2,0,0,5525006.329,0,28655442.75
 01/05  02:00:00,23221205.14,0,0,0,373549.2183,0,2577600
 01/05  03:00:00,26083895.77,0,0,0,186787.6946,0,2577600
 01/05  04:00:00,23259847.74,0,0,0,186780.8902,0,2577600
 01/05  05:00:00,37531783.54,204970868.4,0,0,186766.6155,0,2577600
 01/05  06:00:00,67040405.55,492053184.5,0,0,186784.3863,0,2577600
 01/05  07:00:00,80250287.78,429401096.6,0,0,4350899.375,0,11027908.78
 01/05  08:00:00,90915479.88,423846438.9,0,0,16356101.14,0,79062513.51
 01/05  09:00:00,96084247.86,409407796.3,0,0,15086176.64,0,78807582.99
 01/05  10:00:00,101892831.4,384183589.6,0,0,12363585.79,0,63597099.58
 01/05  11:00:00,118009246.8,345245078.2,0,0,10836419.46,0,51691488.29
 01/05  12:00:00,130994759.7,312655483.7,0,0,12360668.75,0,63014009.93
 01/05  13:00:00,120613687.2,285806803.9,0,0,11030358.5,0,58764773.01
 01/05  14:00:00,113329053.5,268792582.3,0,0,9755909.446,0,46030376.42
 01/05  15:00:00,105918575.6,254661770,0,0,8245039.306,0,46117765.95
 01/05  16:00:00,105927273.2,247875442.6,0,0,8228795.328,0,39401455.22
 01/05  17:00:00,125281773.6,256949396.7,0,0,8266173.899,0,39401921.46
 01/05  18:00:00,131445805,262149005.3,0,0,11093795.73,0,60828245.42
 01/05  19:00:00,129697355.8,265699577.1,0,0,15095156.32,0,66913621.16
 01/05  20:00:00,125977899.6,280167850.2,0,0,16394857.64,0,80914538.66
 01/05  21:00:00,117524837,298566162.6,0,0,13611848.02,0,76491379.56
 01/05  22:00:00,112932720.1,321354554.4,0,0,14951508.59,0,72073823.74
 01/05  23:00:00,76763876.85,333654145.4,0,0,12366155.28,0,62889300.68
 01/05  24:00:00,53797690.57,353075541.4,0,0,7049864.081,0,35940629.73
 01/06  01:00:00,46188553.48,331619781.3,0,0,5525122.786,0,28826800.33
 01/06  02:00:00,23201259.97,0,0,0,373611.6659,0,2577600
 01/06  03:00:00,26051702.96,0,0,0,186762.445,0,2577600
 01/06  04:00:00,23209544.75,0,0,0,186793.1794,0,2577600
 01/06  05:00:00,40571591.58,225630635.9,0,0,186715.8596,0,2577600
 01/06  06:00:00,69548913.67,508434235.9,0,0,186745.3214,0,2577600
 01/06  07:00:00,81531746.6,439555076.6,0,0,4351274.125,0,19506598.3
 01/06  08:00:00,90944389.8,429345825.5,0,0,16355889.32,0,79197823.07
 01/06  09:00:00,96163327.14,415475705.1,0,0,15078255.21,0,78588173
 01/06  10:00:00,101990986.4,398041625.3,0,0,12364349.63,0,63753767.81
 01/06  11:00:00,118311662,379419717.5,0,0,10836747.68,0,51672263.6
 01/06  12:00:00,131480160.2,363696961.2,0,0,12362377.73,0,63087743.86
 01/06  13:00:00,121295043.3,359968709,0,0,11030640.92,0,51711439.96
 01/06  14:00:00,114214748,360065551.9,0,0,9755911.745,0,50220386.77
 01/06  15:00:00,106933108.3,363266359.8,0,0,8243505.563,0,48769985.18
 01/06  16:00:00,107406059.3,371560702.6,0,0,8229025.531,0,39407233.88
 01/06  17:00:00,126607459.3,397818062.9,0,0,8267589.54,0,39415722.25
 01/06  18:00:00,132947673.4,420056075.1,0,0,11093846.36,0,56298860
 01/06  19:00:00,131398198.1,444930440.4,0,0,15094132.73,0,72114931
 01/06  20:00:00,127067472.4,456203047.7,0,0,16397518.55,0,81026960.94
 01/06  21:00:00,118587582.7,472601525.9,0,0,13609894.93,0,76213438.65
 01/06  22:00:00,114012990.3,476184794.3,0,0,14952064.74,0,67567605.59
 01/06  23:00:00,78077873.59,468769334.6,0,0,12366576.87,0,63942186.69
 01/06  24:00:00,55045368.65,482858365.2,0,0,7051714.626,0,39218740.92
 01/07  01:00:00,48184523.4,442521815.9,0,0,5525376.629,0,28776935.45
 01/07  02:00:00,23156897.12,0,0,0,373629.852,0,2577600
 01/07  03:00:00,25998459.34,0,0,0,186774.9577,0,2577600
 01/07  04:00:00,23138335.44,0,0,0,186758.1519,0,2577600
 01/07  05:00:00,37858795.62,273200502.3,0,0,186783.8287,0,2577600
 01/07  06:00:00,67547634.73,612360633.2,0,0,186785.6387,0,2577600
 01/07  07:00:00,79784581.85,560606539.9,0,0,4351471.971,0,19499737.79
 01/07  08:00:00,78141625.08,545345538.4,0,0,4133677.001,0,19476436.55
 01/07  09:00:00,86229915.02,498918431.2,0,0,4351717.094,0,27955887.34
 01/07  10:00:00,103932380.5,450837835.7,0,0,13785244.42,0,64897536.54
 01/07  11:00:00,118964746.1,414769365.1,0,0,12329695.48,0,62836238.21
 01/07  12:00:00,131890401.4,399806080.1,0,0,13639177.61,0,65987505.16
 01/07  13:00:00,122992549.9,392386402.3,0,0,13588891.87,0,65440725.95
 01/07  14:00:00,115814218.1,379842998.6,0,0,12361227.29,0,63569680.09
 01/07  15:00:00,108755873.8,385096734.8,0,0,11047359.05,0,61610026.54
 01/07  16:00:00,108820782.3,390854160.1,0,0,11095851.89,0,51599137.39
 01/07  17:00:00,124234180.3,416888674.2,0,0,9477817.311,0,50231590.35
 01/07  18:00:00,133113707,437240069.9,0,0,11093328.47,0,51456906.79
 01/07  19:00:00,131559349.4,461860760.1,0,0,15102379.28,0,77579302.58
 01/07  20:00:00,126446064.6,474885469.7,0,0,14950283.87,0,78546221.37
 01/07  21:00:00,119333165.1,483656691.7,0,0,13625381.33,0,65646980.11
 01/07  22:00:00,114797683.3,492718331.5,0,0,15136193.98,0,78313268.26
 01/07  23:00:00,77000620.03,496278942.5,0,0,11022224.87,0,52011934.02
 01/07  24:00:00,56415991.71,498999517.3,0,0,8238474.079,0,49089811.69
 01/08  01:00:00,49885216.78,466817010.1,0,0,6996227.484,0,33331500.74
 01/08  02:00:00,23012002.99,0,0,0,186820.1977,0,6973050.117
 01/08  03:00:00,26030551.59,0,0,0,186772.5518,0,2577600
 01/08  04:00:00,23175985,0,0,0,186799.4162,0,2577600
 01/08  05:00:00,38102997.24,274425482.5,0,0,373559.4101,0,2577600
 01/08  06:00:00,67419288.72,611860564.8,0,0,186774.2325,0,2577600
 01/08  07:00:00,79464736.46,548216737.9,0,0,4133131.059,0,11020090.15
 01/08  08:00:00,78230617.93,532795579.2,0,0,4351938.257,0,27934683.19
 01/08  09:00:00,84919376.63,484690635.5,0,0,4352128.648,0,19505567.91
 01/08  10:00:00,92835158.26,426545054.3,0,0,4134125.428,0,19503833.94
 01/08  11:00:00,118988974.2,391673703,0,0,13783694.36,0,63986431.38
 01/08  12:00:00,130561299,374643708.7,0,0,13720106.61,0,75332421.14
 01/08  13:00:00,118711839.9,356091261.4,0,0,10846148.36,0,52440508.91
 01/08  14:00:00,112965789.6,339988786.4,0,0,11094116.09,0,57890520.25
 01/08  15:00:00,104361458.2,332795264.4,0,0,8333736.486,0,42958133.02
 01/08  16:00:00,104285038.3,330950512.3,0,0,8333912.961,0,39431818.6
 01/08  17:00:00,118792839.5,342179688.4,0,0,8309268.143,0,45870623.54
 01/08  18:00:00,126641340.8,347951630.3,0,0,10837070.94,0,54307517.07
 01/08  19:00:00,123733795,341475649.3,0,0,13766558.01,0,65020664.8
 01/08  20:00:00,118558116.1,336511250.3,0,0,13783169.3,0,68970080.28
 01/08  21:00:00,109734084.9,332076544.5,0,0,10856164.58,0,58517807.34
 01/08  22:00:00,106481721,337103797.6,0,0,13712688.74,0,65035671.82
 01/08  23:00:00,75525515.13,336183289.6,0,0,11097613.52,0,61954902.59
 01/08  24:00:00,52229926.74,343204175.8,0,0,5524394.694,0,28852996.73
 01/09  01:00:00,46080509.96,307339711.6,0,0,5639332.118,0,28650640.6
 01/09  02:00:00,23068078.17,0,0,0,281159.3653,0,2577600
 01/09  03:00:00,25992374.77,0,0,0,186806.0173,0,2577600
 01/09  04:00:00,23147312.07,0,0,0,186800.9544,0,2577600
 01/09  05:00:00,37354781.3,194249471.7,0,0,186775.3233,0,2577600
 01/09  06:00:00,66409842.21,421973243.4,0,0,186774.4968,0,2577600
 01/09  07:00:00,79590817.07,349915490.1,0,0,4351215.097,0,19490381.7
 01/09  08:00:00,90375451.33,328006502.4,0,0,16355931.2,0,77337829.29
 01/09  09:00:00,95164526.08,303331990.4,0,0,15137548.62,0,71130473.13
 01/09  10:00:00,100748797.2,269869812.6,0,0,12329494.33,0,63279754.85
 01/09  11:00:00,117132252.3,248748374.9,0,0,10911037.98,0,61627689.55
 01/09  12:00:00,130061808.3,212677565.3,0,0,12360280.62,0,63276007.53
 01/09  13:00:00,119490432.3,176455572.4,0,0,10947673.12,0,51742158.95
 01/09  14:00:00,112294455.2,161331545.7,0,0,9756193.005,0,50266589.79
 01/09  15:00:00,105111458.5,165057362.2,0,0,8333896.191,0,42843636.2
