Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  01:00:00,185519402.1,42484485.47,98028280.04,1113226.203,0,18071511.26
 01/04  02:00:00,189176393.9,44222933.82,102942863.3,1003056.796,0,26037859.92
 01/04  03:00:00,191402902,45795852.23,106999039.2,898425.155,0,22072442.25
 01/04  04:00:00,194385091.8,47464997.44,110071163.4,803607.9758,0,25664360.44
 01/04  05:00:00,201044746.5,48376982.49,111007662.7,722584.5448,0,18046303.5
 01/04  06:00:00,222268072.5,38573731.17,107969190.3,664921.6002,0,44417663.27
 01/04  07:00:00,288138051.8,19946416.74,91957594.6,727392.7001,0,61641624.5
 01/04  08:00:00,358268342,14248484.17,131423943.5,780692.6801,0,85596508.32
 01/04  09:00:00,289154296.3,18281691.3,84566132.85,643587.882,0,197980520.7
 01/04  10:00:00,225201270.3,15689077.06,41518705.67,77935.19087,0,167590243.2
 01/04  11:00:00,158950712.7,34953808.4,46441497.34,192724.6861,0,164853659.8
 01/04  12:00:00,159282101.8,35170838.91,48288601.02,372948.199,0,144354494.8
 01/04  13:00:00,155158718,35877005.37,45423473.74,548181.7355,0,146535039
 01/04  14:00:00,158176045.4,28436613.1,44976744.44,858331.7905,0,146890467.8
 01/04  15:00:00,163899239.4,29237048.73,49689108.24,1308712.379,0,148026205.5
 01/04  16:00:00,171806249.9,34273754.13,54789425.56,1653403.738,0,141943164.1
 01/04  17:00:00,282467611,34167366.21,131127378.7,2874839.89,0,33892160.36
 01/04  18:00:00,350133418.3,38759833.9,163893097.1,2135086.508,0,31165366.83
 01/04  19:00:00,311881912.4,33540721.82,108864324.7,1981016.013,0,60511293.44
 01/04  20:00:00,301463999.9,35282494.66,103007254.1,1749121.725,0,45503473.99
 01/04  21:00:00,305721841.4,36743784.13,93279523.01,1574815.952,0,45198707.33
 01/04  22:00:00,288102052,38957842.84,90259689.95,1496652.68,0,75162390.05
 01/04  23:00:00,255860216.1,43373114.63,106436705.4,1299556.665,0,46073098.55
 01/04  24:00:00,229225858.4,54734743.2,127245617.7,1110332.257,0,44084241.16
 01/05  01:00:00,224723924,56850197.35,137341013.2,972574.6122,0,18066229.2
 01/05  02:00:00,224672336,57101524.96,138545390.2,868210.0099,0,17906099.82
 01/05  03:00:00,222550151.2,57482554.26,138250737.4,774452.2466,0,17888721.14
 01/05  04:00:00,231713936.4,61320434.67,147514983.1,666883.1212,0,25667461.19
 01/05  05:00:00,260923263.2,69953861.61,171038855.3,527385.7618,0,30404668.49
 01/05  06:00:00,303564507.9,68105375.83,189463721.2,406722.2315,0,31523134.79
 01/05  07:00:00,383247044.2,54235441.9,187296654.5,436129.799,0,75018213.43
 01/05  08:00:00,485113923.3,41509440.85,258803676.7,463595.3085,0,80740134.82
 01/05  09:00:00,379508761.9,52146247.66,177091523.9,388218.2912,0,203525801.4
 01/05  10:00:00,279597729.7,46049961.96,96934549.37,1196.622197,0,166964735.2
 01/05  11:00:00,211471384.1,55995958.76,99011938.31,121647.0681,0,152903173.8
 01/05  12:00:00,202277952.9,53413489.92,90945938.79,370972.382,0,156403097
 01/05  13:00:00,193812614.1,52915155.87,83937559.98,583406.3249,0,147209364.5
 01/05  14:00:00,188194120.2,43581510.73,75978655.98,810730.3592,0,147407784.1
 01/05  15:00:00,186342212.6,40187064.32,73338905.77,1320515.266,0,147250116.9
 01/05  16:00:00,192938762,42505207.57,78029010.48,1514042.559,0,143095923.8
 01/05  17:00:00,300657787.5,40059809.69,149570954.8,2621440.303,0,33363712.06
 01/05  18:00:00,368763417.1,42737986.47,182504720,2153462.471,0,31190636.68
 01/05  19:00:00,321567622.6,35089507.53,118510137.1,2020913.731,0,60680822.83
 01/05  20:00:00,314401907.3,37912346.82,115989087.1,1705196.199,0,45415676.88
 01/05  21:00:00,327381202,42749781.48,115022268,1467788.826,0,45208419.37
 01/05  22:00:00,311497878.9,45627439.59,113735907.2,1403757.387,0,69705917.87
 01/05  23:00:00,275469336,51170251.24,126076969.4,1256464.025,0,51717104.72
 01/05  24:00:00,250980704.8,62558838.09,149028584.5,1064069.747,0,31264635.15
 01/06  01:00:00,252453118.1,66704669.09,163951053.8,913171.1779,0,30588599.47
 01/06  02:00:00,258653698.7,68625192.32,170263167.7,796331.9404,0,17898933.72
 01/06  03:00:00,260811333.5,70827975.89,176571487.6,684263.5139,0,17889077.85
 01/06  04:00:00,270848942.5,74881907.49,186710724.9,573495.9662,0,25667911.69
 01/06  05:00:00,282192406.4,77131722.22,192340493.9,477602.073,0,30445538.96
 01/06  06:00:00,306737269.2,72367558.39,195536367.4,391898.7069,0,27694425.42
 01/06  07:00:00,375404865.9,60134549.89,203128952.5,357886.6359,0,34724887.22
 01/06  08:00:00,474256215.6,42554001.6,274600014.9,381553.816,0,62534648.26
 01/06  09:00:00,396957785,53375106.96,154442351.5,503015.1406,0,221449530.8
 01/06  10:00:00,282846275.7,49305855.24,95310530.87,11149.39801,0,186172310.4
 01/06  11:00:00,221244051.6,65271975.7,110266295.6,79795.76633,0,178453061.2
 01/06  12:00:00,224791199.4,64306997.95,115204732.5,223506.733,0,156941284.6
 01/06  13:00:00,225571283.1,71157226.47,116876559.1,379311.8912,0,147783079.1
 01/06  14:00:00,233159448.4,59836996.2,122004005.5,505001.7753,0,147609655.1
 01/06  15:00:00,234047602,60036722.79,123352997.7,643626.2613,0,147128066.4
 01/06  16:00:00,241590405.4,65219095.53,129085514.5,753157.1147,0,143670961.7
 01/06  17:00:00,365184451.9,69674175.94,216980694.8,1360709.445,0,33150939.68
 01/06  18:00:00,469930771.9,74798728.72,290072660.5,1360445.171,0,30817997.36
 01/06  19:00:00,409025663.9,57990084.46,199452416,1346238.739,0,31195311.86
 01/06  20:00:00,401898883.8,60310355.83,199582663.9,1277380.124,0,45055983.19
 01/06  21:00:00,405186733.9,65282330.98,193031620.2,1220071.051,0,45217041.07
 01/06  22:00:00,395448961.2,71976528.32,192690033.4,1150712.807,0,45220713.79
 01/06  23:00:00,352333442.5,79260270.79,195048559,1003399.301,0,75252018.8
 01/06  24:00:00,325398713.3,88692564.2,219578701.7,822591.6722,0,44891616.15
 01/07  01:00:00,318030311,90275900.54,229679403.9,698654.5726,0,18103091.5
 01/07  02:00:00,323329769.6,91451652.47,235085004.9,587776.4426,0,30254593.43
 01/07  03:00:00,324488045.9,93136204.3,240387481.1,480411.9673,0,17890736.11
 01/07  04:00:00,333757271.5,95966858.03,249749723,370570.4055,0,25669971.17
 01/07  05:00:00,343782012.1,97664383.92,254058009.2,276001.7135,0,18052547.92
 01/07  06:00:00,370241217,93869221.29,259173260.8,185932.0054,0,30795001.45
 01/07  07:00:00,440484129,82414032.74,268342954.5,159111.8484,0,44497144.94
 01/07  08:00:00,544433259.1,64173326.44,344961419.9,206152.5934,0,61686395.06
 01/07  09:00:00,450859468.6,72835542.94,207840590.2,361069.6947,0,217128984.8
 01/07  10:00:00,318957821.2,62961969.65,130931672.2,0,0,189725959.5
 01/07  11:00:00,256804339.8,73216242.53,144704676.5,27074.36816,0,168341924.9
 01/07  12:00:00,245248255.1,71256134.23,135274040.3,253356.1266,0,169332601.7
 01/07  13:00:00,235278183.2,74100999.77,126395740.3,471565.0982,0,136220171.2
 01/07  14:00:00,233718734.5,62713443.9,122634612.5,644718.7073,0,159757327.8
 01/07  15:00:00,235981054.4,62997810.15,124582151.7,769587.5207,0,134384142.2
 01/07  16:00:00,250050635.4,69185097.04,137194799.4,840941.6327,0,157150590.8
 01/07  17:00:00,378767580.9,74756550.92,234426921.4,1407443.282,0,20238604.63
 01/07  18:00:00,488951198.9,78695406.32,309066594.9,1386937.669,0,30705693.75
 01/07  19:00:00,417309006.1,59893418.13,207699529.7,1373743.741,0,43903872.74
 01/07  20:00:00,405530482.2,61589257.06,203181550.4,1307733.632,0,45162828.13
 01/07  21:00:00,410462170.5,65078467.21,198273262.5,1244664.884,0,45226127.65
 01/07  22:00:00,401456704.9,74195022.97,198672044.3,1168569.07,0,45228267.74
 01/07  23:00:00,354766771.7,81308989.58,197462074.8,1022716.45,0,61600797.5
 01/07  24:00:00,322643028.9,89205623.46,216800591,851908.1469,0,45482939.82
 01/08  01:00:00,317362819.8,92161467.33,230150549.4,718219.4654,0,30823623.61
 01/08  02:00:00,325171908.6,94484456.35,239227265.7,594914.14,0,17904850.83
 01/08  03:00:00,327362260,95295809.93,243243228.7,493543.6181,0,17889624.93
 01/08  04:00:00,330153907.8,96136555.27,246124158.8,396986.4989,0,25671150.96
 01/08  05:00:00,339786813.6,97726331.53,250043292.4,300081.8192,0,30430278.62
 01/08  06:00:00,364958980.2,89558954.34,250973074.6,224106.2679,0,31551982.81
 01/08  07:00:00,437050748.3,72681288.15,241202878.5,280621.3875,0,75179658.63
 01/08  08:00:00,544858535.5,59770918.94,318710137.9,327954.0358,0,80848808.63
 01/08  09:00:00,411848655.5,66041511.33,209007649.9,307227.0589,0,204441600.5
 01/08  10:00:00,301737072.7,55481307.64,119212515.2,0,0,166994223.9
 01/08  11:00:00,241185100.3,64663581.69,129487681.7,32694.97496,0,154047976.8
 01/08  12:00:00,231404461.1,62489497.61,121456105.7,251217.1557,0,156166352.2
 01/08  13:00:00,221874675.8,63624520.16,112965692.3,468960.371,0,148634498.3
 01/08  14:00:00,224024024.2,54211286.59,112162722.4,635117.5292,0,147625399.9
 01/08  15:00:00,226616806.3,52872372.37,113755544.4,766191.5011,0,146937219.8
 01/08  16:00:00,227923115.3,55984704.05,113797233.2,870804.6616,0,144892359.5
 01/08  17:00:00,332549729,52934168.8,186493160.9,1501007.112,0,32657466.36
 01/08  18:00:00,425273970,57534448.56,239615055.2,1553680.164,0,31196828.97
 01/08  19:00:00,353788625.7,43749893.14,151259803.8,1492250.174,0,60670389.5
