Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  07:00:00,529907969.3,144240103.9,96687657.47,0,0,5356800
 01/04  08:00:00,675349763.9,96341609.51,131621036.3,5149306.727,0,5356800
 01/04  09:00:00,679811053.7,76508849.85,101584336.9,8001200.554,0,14326888.15
 01/04  10:00:00,713418672,64368877.52,88328940.88,11435920.93,0,41986093.79
 01/04  11:00:00,702869414.3,54949260.99,77226641.21,13118489.13,0,52650012.83
 01/04  12:00:00,695402847.9,45600946.42,69396270.38,14955725.68,0,53326609.53
 01/04  13:00:00,647443377.8,42411867.63,63312543.47,16399079.16,0,42650010.95
 01/04  14:00:00,690243198.5,41214889.59,59573105.68,17733771.64,0,53212108.23
 01/04  15:00:00,688989351.6,40940570.56,58562146.7,17610882.16,0,43385436.37
 01/04  16:00:00,694317503.4,41664792.25,60235554.13,17240459.1,0,52384468.22
 01/04  17:00:00,727326724.4,43486554.41,65176208.06,14462741.19,0,41916491.27
 01/04  18:00:00,745419829.9,50629301.22,68958181.68,10640499.62,0,22615178.65
 01/04  19:00:00,433478796.2,112563179.3,22690454.95,17730037.19,0,13734981.99
 01/04  20:00:00,415859666.5,124058451,24781128.87,0,0,13502615.21
 01/04  21:00:00,311501914.5,140412604.2,8260129.127,0,0,13503831.91
 01/04  22:00:00,319100342.9,140561105.5,31754996.09,24800164.7,0,5356800
 01/04  23:00:00,249295625.6,151237021.8,36504521.94,9348443.908,0,5356800
 01/04  24:00:00,278857243,166583926.4,39864057.67,27590357.12,0,5356800
 01/05  01:00:00,248883760.7,174669355.9,44014512.11,0,0,5356800
 01/05  02:00:00,250751656.4,173596844.8,47281387.84,0,0,5356800
 01/05  03:00:00,279432101.2,174389412,49927379.22,26308748.99,0,5356800
 01/05  04:00:00,286837784,187337581.9,54608370.31,26059887.36,0,5356800
 01/05  05:00:00,353879290.3,210501317.6,50723950.98,17917131.15,0,5356800
 01/05  06:00:00,434046773.9,252450463.1,120296716.7,21544192.26,0,5356800
 01/05  07:00:00,599023337.2,375582476.8,119565672.1,0,0,5356800
 01/05  08:00:00,738290417.2,328555441.3,156794629,0,0,5356800
 01/05  09:00:00,725696633.5,289364237,115785069.6,0,0,14334646.92
 01/05  10:00:00,740504860.1,244589244.8,88681146.94,0,0,42014195.89
 01/05  11:00:00,721601975.8,176760340.1,71872256.45,0,0,52618394.46
 01/05  12:00:00,716012412.2,122334288.8,65993156.32,0,0,53333785.79
 01/05  13:00:00,668840112.1,88439389.69,61491959.23,935569.6556,0,42737621.52
 01/05  14:00:00,713124188.1,67898797.08,56865793.97,5446806.392,0,53217444.42
 01/05  15:00:00,714549767.6,49767525.24,54792788.51,9898896.854,0,50547895.08
 01/05  16:00:00,717848228.5,45219935.42,56416799.26,12014113.33,0,45300654.55
 01/05  17:00:00,743623776,53717030.51,61081611.47,10290677.84,0,41962969.32
 01/05  18:00:00,754645216.9,64519376.19,64460094.45,7737474.697,0,27701364.81
 01/05  19:00:00,448010257.2,121096428,23171353.63,18017950.01,0,16961201.22
 01/05  20:00:00,435953329.1,136079299.8,25570740.62,5824971.819,0,5356800
 01/05  21:00:00,368286950.8,158188248.5,28453348.52,20545795.18,0,13502371.21
 01/05  22:00:00,343970114.8,176732290.8,31787807.33,29975183.3,0,13359778.36
 01/05  23:00:00,256427236.5,187562620.4,37307059.38,0,0,5356800
 01/05  24:00:00,291142262.9,197286543.1,41574996.94,27684077.36,0,5356800
 01/06  01:00:00,288075293.3,211560522.4,46602194.52,27062227.24,0,5356800
 01/06  02:00:00,266554679.5,219591333.2,50513594.98,0,0,5356800
 01/06  03:00:00,298578579.9,226793664.9,55101073.21,26168833.75,0,5356800
