Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  13:00:00,1359296472,573839300.4,0,0,50400000,356311165.9
 01/04  14:00:00,1349008187,436410927.5,0,0,50400000,378768100.7
 01/04  15:00:00,1382970707,359774051.1,0,0,50400000,289691909.9
 01/04  16:00:00,1424872951,390096102.9,0,264518.5794,50400000,303079136.9
 01/04  17:00:00,1457408354,519451859.7,0,99516.27908,50400000,85799383.87
 01/04  18:00:00,1166766989,519502945.1,0,0,50400000,52953243.02
 01/04  19:00:00,1166607504,585426623.1,0,0,50400000,81887045.55
 01/04  20:00:00,1168925249,591541996.5,0,1198941.95,50400000,112515801.3
 01/04  21:00:00,1118636214,612191951.9,0,350124.6942,1435359.293,3164400
 01/04  22:00:00,368720714.9,0,0,0,373043.6761,3164400
 01/04  23:00:00,367574285.7,0,0,0,372955.3363,3164400
 01/04  24:00:00,373282900.7,0,0,0,186474.266,3164400
 01/05  01:00:00,357474578.3,0,0,0,372983.0184,3164400
 01/05  02:00:00,357338508.3,0,0,0,186465.4695,3164400
 01/05  03:00:00,357638096.9,0,0,0,372975.8211,3164400
 01/05  04:00:00,357747159.1,0,0,0,372931.8783,3164400
 01/05  05:00:00,402780169,8324194.442,0,0,186474.6002,3164400
 01/05  06:00:00,424405264.9,14739694.71,0,0,372965.5852,3164400
 01/05  07:00:00,471857196.9,495960356.1,0,0,186513.4901,3164400
 01/05  08:00:00,992800160.6,1206294919,0,0,373102.6707,3164400
 01/05  09:00:00,1376865079,2304600074,0,75640.73953,50380991.22,148625504.2
 01/05  10:00:00,1355495687,1418466572,0,164787.3633,50400000,251129549
 01/05  11:00:00,1376720123,1039207960,0,0,50400000,298159569.2
 01/05  12:00:00,1376706995,638051181.1,0,0,50400000,324163567.1
 01/05  13:00:00,1378126841,660848272,0,0,50400000,383043442.3
 01/05  14:00:00,1347594920,473016684.8,0,0,50400000,371735693.5
 01/05  15:00:00,1362301913,456255628.1,0,0,50400000,300822099.8
