Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/05  02:00:00,13246044.04,0,900000,0,2055600,0
 01/05  03:00:00,13246044.04,0,900000,0,2055600,0
 01/05  04:00:00,13246044.04,0,900000,0,2055600,0
 01/05  05:00:00,13246044.04,0,900000,0,2055600,0
 01/05  06:00:00,14058146.99,0,900000,0,2055600,0
 01/05  07:00:00,21088905.78,68751890.92,900000,0,2055600,0
 01/05  08:00:00,21203021,84624813.91,900000,0,2055600,0
 01/05  09:00:00,31395096.46,47151746.68,900000,0,2055600,0
 01/05  10:00:00,34631423.55,22786368.1,4583782.284,0,2055600,0
 01/05  11:00:00,39277400.49,0,9233987.105,0,2055600,0
 01/05  12:00:00,37479389.27,0,7395988.596,0,2055600,0
 01/05  13:00:00,37315473.86,0,9066219.639,0,2055600,0
 01/05  14:00:00,34619158.53,0,4578253.168,0,2055600,0
 01/05  15:00:00,33246717.56,0,3205812.198,0,2055600,0
 01/05  16:00:00,33248601.54,0,2956896.318,0,2055600,0
 01/05  17:00:00,37464912.24,0,3998274.302,0,2055600,0
 01/05  18:00:00,38251654.41,1264894.237,13268960.67,0,2055600,0
 01/05  19:00:00,33351921.63,0,14357453.12,0,2055600,0
 01/05  20:00:00,14020014.06,0,900000,0,2055600,0
 01/05  21:00:00,12758490.91,0,900000,0,2055600,0
 01/05  22:00:00,12758490.91,0,900000,0,2055600,0
 01/05  23:00:00,11623120.08,0,900000,0,2055600,0
 01/05  24:00:00,11294477.42,0,900000,0,2055600,0
 01/06  01:00:00,13246044.04,0,900000,0,2055600,0
 01/06  02:00:00,13246044.04,0,900000,0,2055600,0
 01/06  03:00:00,13246044.04,0,900000,0,2055600,0
 01/06  04:00:00,13246044.04,0,900000,0,2055600,0
 01/06  05:00:00,13246044.04,0,900000,0,2055600,0
 01/06  06:00:00,14058146.99,0,900000,0,2055600,0
 01/06  07:00:00,21088905.78,70463741.09,900000,0,2055600,0
 01/06  08:00:00,21203021,86647755.57,900000,0,2055600,0
 01/06  09:00:00,31375173.41,48040394.07,900000,0,2055600,0
 01/06  10:00:00,30945133.23,34007109.16,900000,0,2055600,0
 01/06  11:00:00,30865441.02,26945249.16,900000,0,2055600,0
 01/06  12:00:00,41470583.35,0,11339659.58,0,2055600,0
 01/06  13:00:00,42747254.6,8254246.717,14505127.67,0,2055600,0
 01/06  14:00:00,41775429.59,0,11290490.8,0,2055600,0
 01/06  15:00:00,40949656.25,0,10891194.68,0,2055600,0
 01/06  16:00:00,39840219.85,4385127.617,9463644.956,0,2055600,0
 01/06  17:00:00,34400222.93,30830127.13,900000,0,2055600,0
 01/06  18:00:00,25882693.74,65196375.9,900000,0,2055600,0
 01/06  19:00:00,19894468.51,63488555.29,900000,0,2055600,0
 01/06  20:00:00,14020014.06,0,900000,0,2055600,0
 01/06  21:00:00,12758490.91,0,900000,0,2055600,0
 01/06  22:00:00,12758490.91,0,900000,0,2055600,0
 01/06  23:00:00,11623120.08,0,900000,0,2055600,0
 01/06  24:00:00,11294477.42,0,900000,0,2055600,0
 01/07  01:00:00,10180777.82,0,900000,0,2055600,0
 01/07  02:00:00,10180777.82,0,900000,0,2055600,0
 01/07  03:00:00,10180777.82,0,900000,0,2055600,0
 01/07  04:00:00,10396355.72,601976.9148,900000,0,2055600,0
 01/07  05:00:00,11379392.79,1219261.504,900000,0,2055600,0
 01/07  06:00:00,12284636.18,2918821.846,900000,0,2055600,0
 01/07  07:00:00,13600150.18,4142754.611,900000,0,2055600,0
 01/07  08:00:00,9539858.722,708089.8289,900000,0,2055600,0
 01/07  09:00:00,8024208.698,81324.73338,900000,0,2055600,0
 01/07  10:00:00,7617800.73,0,900000,0,2055600,0
 01/07  11:00:00,7617800.73,0,900000,0,2055600,0
 01/07  12:00:00,7652456.641,0,900000,0,2055600,0
 01/07  13:00:00,7647326.471,0,900000,0,2055600,0
 01/07  14:00:00,7612024.744,0,900000,0,2055600,0
 01/07  15:00:00,7628061.069,0,900000,0,2055600,0
 01/07  16:00:00,7650759.097,0,900000,0,2055600,0
 01/07  17:00:00,9574921.656,0,900000,0,2055600,0
 01/07  18:00:00,11294477.42,0,900000,0,2055600,0
 01/07  19:00:00,11294477.42,0,900000,0,2055600,0
 01/07  20:00:00,11294477.42,0,900000,0,2055600,0
 01/07  21:00:00,11638197.51,802115.9595,900000,0,2055600,0
 01/07  22:00:00,11844126.96,1034122.076,900000,0,2055600,0
 01/07  23:00:00,12490712.04,1490273.685,900000,0,2055600,0
 01/07  24:00:00,12444150.62,2070016.927,900000,0,2055600,0
 01/08  01:00:00,11980552.91,2786454.627,900000,0,2055600,0
 01/08  02:00:00,12032310.77,2549333.659,900000,0,2055600,0
 01/08  03:00:00,12268049.41,4457762.714,900000,0,2055600,0
 01/08  04:00:00,12469618.81,2988576.968,900000,0,2055600,0
 01/08  05:00:00,12853190.18,6536065.001,900000,0,2055600,0
 01/08  06:00:00,13002156.86,5138680.261,900000,0,2055600,0
 01/08  07:00:00,14038533.81,7470475.989,900000,0,2055600,0
 01/08  08:00:00,11197219.06,3915923.902,900000,0,2055600,0
 01/08  09:00:00,9146614.665,3880742.47,900000,0,2055600,0
 01/08  10:00:00,8869377.727,1468091.878,900000,0,2055600,0
 01/08  11:00:00,8335811.585,1051709.831,900000,0,2055600,0
 01/08  12:00:00,7560723.046,0,900000,0,2055600,0
 01/08  13:00:00,7587019.711,0,900000,0,2055600,0
 01/08  14:00:00,7609441.483,0,900000,0,2055600,0
 01/08  15:00:00,7622285.084,0,900000,0,2055600,0
 01/08  16:00:00,7650759.097,0,900000,0,2055600,0
 01/08  17:00:00,9574921.656,0,900000,0,2055600,0
 01/08  18:00:00,11294477.42,0,900000,0,2055600,0
 01/08  19:00:00,11294477.42,0,900000,0,2055600,0
 01/08  20:00:00,11294477.42,0,900000,0,2055600,0
 01/08  21:00:00,11294477.42,0,900000,0,2055600,0
 01/08  22:00:00,11571894.54,0,1114837.394,0,2055600,0
