Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/03  18:00:00,2838790407,1339742065,176404830.7,116139478,4871257.578,0,69825972.26
 01/03  19:00:00,2512510071,1110105847,251485651.3,115787630.1,2364803.515,0,91459532.83
 01/03  20:00:00,2513964886,1070278263,255518701.3,115800847.7,2364733.069,0,61259251.73
 01/03  21:00:00,2501452961,1060353327,255772618.1,115812878.7,2364890.249,0,61265597.3
 01/03  22:00:00,2353684014,1058336046,255790603.9,115821305,1439049.521,0,60607074.87
 01/03  23:00:00,2278503742,1069538494,255822644.4,115826586.3,234384.9757,0,47116972.03
 01/03  24:00:00,1948496548,1137747413,253572744.4,115824467,189362.5693,0,60406862.89
 01/04  01:00:00,1930040854,1142689625,251378430.7,115814262.9,189339.5333,0,60409954.2
 01/04  02:00:00,1932866781,1154087575,253608346.2,115830771.2,189413.7917,0,35491921.36
 01/04  03:00:00,1932762205,1166489043,253294042.1,115832853.1,378795.226,0,72024957.23
 01/04  04:00:00,1931981498,1173593977,254549454.5,115813220.3,189441.235,0,60408533.85
 01/04  05:00:00,1932923912,1175242089,254995965.3,115796286.3,189428.4299,0,35496184.34
 01/04  06:00:00,1931774003,1174948073,254682523.4,115794192.5,189415.2702,0,60406398.67
 01/04  07:00:00,1915984286,1398888155,253244591.4,115811537.4,189401.8604,0,72025320.98
 01/04  08:00:00,2629640054,1252351939,248800864.9,115801842.8,2333418.715,0,62822649.77
 01/04  09:00:00,3379967961,1068957191,249588699.6,115824257.3,6920238.383,0,363433635.7
 01/04  10:00:00,3565874737,1072766047,170556267.8,116284556.7,8031566.384,0,366313064.9
 01/04  11:00:00,3556351972,1069273015,170236333.6,116409347.2,9518755.927,0,398590374
 01/04  12:00:00,3549013164,1032478373,170903475.1,116465176.1,9783352.826,0,400714304.8
 01/04  13:00:00,3395307161,979464549,170922121.5,116559865.7,8692831.489,0,382561084.2
 01/04  14:00:00,3547754649,963038153.1,170884649.8,116604087.7,9880088.828,0,397303149.3
 01/04  15:00:00,3536959534,985594750.8,170996341.5,116557720.1,9416974.182,0,388315159.9
 01/04  16:00:00,3549422619,1015143997,170988079.4,116521219.3,9001335.864,0,152676982.7
 01/04  17:00:00,2789813199,1343317233,172022361.8,116306011,7629412.546,0,132747375.4
 01/04  18:00:00,2843781225,1434402016,176397954.1,116038242.7,4863919.5,0,89193716.54
 01/04  19:00:00,2532860882,1196146277,259457876.6,115662465.4,2364732.603,0,61483128.63
 01/04  20:00:00,2551227037,1145684939,264830208.5,115641131.9,2364961.639,0,61269733.61
 01/04  21:00:00,2548452807,1136397967,262843052.1,115674513.7,2364810.133,0,98223952.15
 01/04  22:00:00,2401586721,1134244564,263685706.3,115677002.7,1490146.564,0,35586334.12
 01/04  23:00:00,2346533763,1135196481,267675531.3,115622200.5,189322.6978,0,60448353.09
 01/04  24:00:00,2027821811,1203781799,271892214.2,115523824,189376.4136,0,60418427.15
 01/05  01:00:00,2013041212,1219061870,272974037.9,115384657.5,189373.0289,0,47113429.02
 01/05  02:00:00,2008789368,1219215899,271122157.4,115293939.5,189428.8457,0,60411149.39
 01/05  03:00:00,2004343454,1213634095,271422574.6,115201970.2,378824.2505,0,60412216.25
 01/05  04:00:00,2005907670,1245091278,277653327.9,114990462.7,189394.1918,0,47115540.61
 01/05  05:00:00,2012539385,1336016313,291065158.5,50194116.43,189444.4332,0,60410324.27
 01/05  06:00:00,2022788304,1442353266,301577613.6,49058406.53,189432.9111,0,60411529.37
 01/05  07:00:00,2033616635,1918825544,305058324.7,49951454.62,378828.9192,0,35495531.16
 01/05  08:00:00,2756502236,1692018454,302589027.6,50418220.76,2100363.714,0,100281648.3
 01/05  09:00:00,3494619660,1443005388,302740064.6,51067832.12,7002000.018,0,364177695.3
 01/05  10:00:00,3736360530,1353935303,176891263.3,51145015.6,8036733.109,0,366868350.3
 01/05  11:00:00,3725142720,1270623762,172178094.7,68931149.41,9518590.573,0,392437419.6
 01/05  12:00:00,3730002726,1229188840,170956273.9,112834159.4,9783025.77,0,407107940.4
 01/05  13:00:00,3573655534,1185161288,172676815.3,112942727.5,8692804.239,0,369720971.6
 01/05  14:00:00,3718099874,1125795644,173800057.6,113144289,9782954.436,0,400636337.1
 01/05  15:00:00,3715618410,1078701942,175391950.3,113669190,9518482.616,0,399857283.9
 01/05  16:00:00,3719421118,1085819521,175236825.2,114447110.1,8776671.93,0,152601326.3
 01/05  17:00:00,2918294556,1305052234,176124763.7,114955539.4,7645042.156,0,120903619.1
 01/05  18:00:00,2927651161,1402791162,175867307.8,115129837.1,5166890.841,0,100691830.8
 01/05  19:00:00,2590669158,1152316014,263928291.4,115226507.9,2365091.815,0,61338804.25
 01/05  20:00:00,2599833181,1127017123,269047377.4,115130999.4,2249931.391,0,61262396.84
 01/05  21:00:00,2595100067,1136720629,274279366.4,114987246.2,2243362.128,0,61264860.36
 01/05  22:00:00,2458305373,1132842915,279868788.7,114753003.1,1490437.826,0,72374632.15
 01/05  23:00:00,2389081960,1138440563,282166257,114493647.4,189295.0473,0,60421197.74
 01/05  24:00:00,2051720365,1237435885,284900719,83766470.46,189361.1292,0,35503306.56
 01/06  01:00:00,2021061793,1281770031,288913693.4,50177476.8,378793.718,0,60414529.79
 01/06  02:00:00,2024906296,1297708224,289712701.3,49743239.11,189385.883,0,72035306.28
 01/06  03:00:00,2022781987,1329712730,292298477.2,50176392.85,189437.1399,0,35499306.4
 01/06  04:00:00,2023651722,1389520328,298496255.8,50650721.57,189425.6267,0,60415684.47
 01/06  05:00:00,2034527693,1419431040,300135364.7,51017029.01,372822.6789,0,60416647.05
 01/06  06:00:00,2031930899,1443313146,300861675,51340782.27,195439.3473,0,47117879.72
 01/06  07:00:00,2038065601,1898726637,300834047.5,51605126.41,189438.3417,0,60414234.98
 01/06  08:00:00,2786503102,1711045642,302556197.8,51845471.66,2208389.62,0,88920111.15
 01/06  09:00:00,3544166429,1453145723,301557641.5,52273443.5,7097937.41,0,337738711.5
 01/06  10:00:00,3790211470,1409420405,177104599.8,52099417.53,7984826.694,0,381145675.7
 01/06  11:00:00,3769887173,1388197067,174717451.5,52336507,9348643.18,0,384530977.6
 01/06  12:00:00,3778956534,1394726925,173037429.1,52635039.36,9986589.565,0,401466903
 01/06  13:00:00,3623071999,1407340393,174252590.1,52361090.62,8459385.002,0,398098950.9
 01/06  14:00:00,3773861807,1423076666,174486664.2,52747513.65,9986264.745,0,401201907.5
 01/06  15:00:00,3776123779,1421101217,174820675,52479401.73,9304988.593,0,400317631.9
 01/06  16:00:00,3774149788,1449263029,175821203.7,52204559.34,9000200.898,0,139077837.2
 01/06  17:00:00,2976354573,1751517985,178748093.8,52171886.49,7645872,0,145914200.7
 01/06  18:00:00,2993283947,1905626319,180855373.8,52242894.28,5021782.46,0,88695622.77
 01/06  19:00:00,2603986927,1470609799,242268918.1,52266288.8,2365596.654,0,61335088.59
 01/06  20:00:00,2606442710,1469619414,245271942.7,51953372.88,2365716.046,0,61302552.36
 01/06  21:00:00,2600964750,1493793450,248062018.8,51909376.79,2365819.264,0,72911784.87
 01/06  22:00:00,2459448081,1507856619,248503438.4,51925564.23,1277702.717,0,60682274.22
 01/06  23:00:00,2390591446,1506541445,246816370.2,52012118.29,189319.8089,0,40318324.01
 01/06  24:00:00,2049270580,1834365683,248143222.6,51982450.61,378741.8433,0,67264556.27
 01/07  01:00:00,2033990417,1727858394,248840011.7,52000727.81,189437.5024,0,60450194.67
 01/07  02:00:00,2029732765,1662553980,249571287,51962459.3,189445.2598,0,35516342.21
 01/07  03:00:00,2022803271,1661573940,250543870.6,51904566.55,189401.1044,0,60453078.67
 01/07  04:00:00,2018885954,1693882159,251577768,51887649.44,378869.0032,0,72067547.06
 01/07  05:00:00,2016547689,1712965943,252416687.2,51851493.46,189436.44,0,35513800.96
 01/07  06:00:00,2009817905,1733873295,255293665.6,51851872.21,189448.357,0,60436349.23
 01/07  07:00:00,2011670205,2149373641,259138562.1,51755579.16,189435.7127,0,60425215.41
 01/07  08:00:00,2298039766,2209958669,254748001.1,51900110.27,383067.2933,0,47125590.36
 01/07  09:00:00,2747791194,1962925229,248707927.6,51902539.4,2674100.068,0,333546597.7
 01/07  10:00:00,3009598217,1782559524,177482897.7,52159450.6,3391611.749,0,335846514.8
 01/07  11:00:00,3018418681,1697671013,173853942.9,52187918.7,3854603.843,0,337563212
 01/07  12:00:00,3029244097,1675723662,173911897.5,52599206.72,3715235.547,0,364841014.7
 01/07  13:00:00,2912824469,1626364312,173939005.4,52615661.29,3079006.703,0,352091222.7
 01/07  14:00:00,2916183610,1577248762,174068734.8,52851055.84,2904626.925,0,350238531.7
 01/07  15:00:00,2918223431,1582387638,175626923.2,52894605.04,3000070.787,0,364558823.2
 01/07  16:00:00,2912907404,1643204269,176403239.7,52704994.68,2855393.113,0,91277942.22
 01/07  17:00:00,2930036348,1851163034,178929948.3,52474283.87,2989851.496,0,118171317.5
 01/07  18:00:00,2682401164,1925544520,237687347.7,52259622.9,1362219.784,0,89301847.92
 01/07  19:00:00,2020993720,1711836495,246079414.4,52034085.41,1406296.371,0,72379511.82
 01/07  20:00:00,2034217193,1801959001,247699012.2,52223498.84,189413.7085,0,43168908.84
 01/07  21:00:00,2029578078,1656399356,249153072.4,52153433.64,378802.2375,0,52758597.68
 01/07  22:00:00,2023197913,1642475683,250944281.5,52068459.96,189446.1216,0,60423519.08
 01/07  23:00:00,2023209397,1642996708,248970235.9,52097726.15,189433.9088,0,47116652.89
 01/07  24:00:00,2027567917,1655387759,249294272.9,52101960.92,189421.1637,0,60424942.17
 01/08  01:00:00,1935212598,1693905849,252541992.2,52251787.07,189408.2646,0,60425969.99
 01/08  02:00:00,1932116324,1722936704,252128205.1,52144179.61,378911.935,0,35501834.3
 01/08  03:00:00,1930122984,1741154021,250879881.2,52178301.76,189436.8656,0,72046863.85
 01/08  04:00:00,1930087711,1757517128,250319610.2,52142318.9,189423.815,0,60423414.49
 01/08  05:00:00,1930217448,1778639192,251352286.6,52152751.69,189472.1072,0,35502330.64
 01/08  06:00:00,1927229206,1795932430,251384061.1,52125594.64,378904.3795,0,72045684.28
 01/08  07:00:00,1926255611,1802875017,250577860.7,52122023.51,189431.9776,0,60429572.01
 01/08  08:00:00,1898816105,1756419102,248820909.1,52161636.3,189474.4727,0,35502923.87
 01/08  09:00:00,2332693073,1432308353,241019112.2,52042000.22,383038.8948,0,333498506.2
 01/08  10:00:00,2344547070,1195437680,233855110.3,52301574.51,382954.3471,0,309528110.9
 01/08  11:00:00,2356067681,1184094558,230462762.3,52324323.57,230495.5894,0,363727608.6
 01/08  12:00:00,2367155069,1176436417,228570691.8,52517832.58,343937.7968,0,337540600.4
 01/08  13:00:00,2376991184,1149642492,224320240,53408046.12,382932.2317,0,345423860.9
 01/08  14:00:00,2384892790,1142590661,221727271.3,56149859.44,382921.2124,0,356386003.5
 01/08  15:00:00,2385980942,1142903316,220041115.9,85082365.09,382923.3861,0,337556947.4
 01/08  16:00:00,2374795797,1152214334,219930856.2,112387490.6,194519.6508,0,117362385.9
 01/08  17:00:00,1952938253,1379581468,220693642.3,68833117.88,375729.4627,0,90643308.87
 01/08  18:00:00,1970470747,1466754240,221243035.3,54192717.37,189448.8742,0,100732746.5
 01/08  19:00:00,1972970806,1486742724,221298072.6,54492342,189436.6018,0,60775277.09
 01/08  20:00:00,1978418949,1497560361,220350143.2,83913051.42,189413.3897,0,60458990.53
 01/08  21:00:00,1975944404,1497716247,219266299.7,112144561.2,378882.8202,0,37732925.55
 01/08  22:00:00,1976905211,1515805690,218845257.3,112097204.5,189430.427,0,69856176.47
 01/08  23:00:00,1976447230,1543362983,218143762,112070518.1,189440.4467,0,52456016.34
 01/08  24:00:00,1984396343,1541677604,218754034.4,112029562.1,189447.8473,0,43521240.45
 01/09  01:00:00,2026628207,1527696006,219440808.7,111949487,378909.7308,0,72080603.59
 01/09  02:00:00,2022753942,1548154104,219432803.8,111873906.8,189428.071,0,40890720.39
 01/09  03:00:00,2016625323,1540283727,218876843,111836547.4,189476.4005,0,55092431.13
 01/09  04:00:00,2010381683,1533466852,218649128.4,111826616,189479.7397,0,60462888.17
 01/09  05:00:00,2011143043,1538118188,218601546.4,111811820.3,189447.9213,0,47134897.2
 01/09  06:00:00,2011893521,1541928541,218520873.1,111797368.5,378945.2014,0,60462952.71
 01/09  07:00:00,2014228876,1838964509,217918527.9,111812003.2,189479.7927,0,60463579.67
 01/09  08:00:00,2747984060,1631230789,244755545.9,111848382.6,2176761.629,0,89030109.36
 01/09  09:00:00,3508473349,1377305596,261767157.2,112015968.7,7098505.949,0,339050650.3
 01/09  10:00:00,3730841183,1275348216,174272302.9,112352541,8035995.654,0,368271308.1
 01/09  11:00:00,3730125750,1218236594,173218895.1,112975562.1,9305493.058,0,400349490.6
 01/09  12:00:00,3734769810,1139103915,174025744.5,114027637.9,9986514.068,0,402813837.2
 01/09  13:00:00,3573070004,1068349231,174184408.4,115414039.6,8459323.017,0,399231421.2
 01/09  14:00:00,3730437158,1027810458,174134972.8,116582676.5,9986182.291,0,402463971.2
 01/09  15:00:00,3732340896,990571006.5,174075006.4,116914366.2,9402201.483,0,401570530
 01/09  16:00:00,3722704969,996383630.7,174288029.6,116973592.2,8897770.802,0,139648610.2
 01/09  17:00:00,2904935949,1215116132,173938840.8,116764290.2,7645855.219,0,145550430
 01/09  18:00:00,2921911600,1296173657,175523976.1,116596346,5059544.199,0,88846774.48
