Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/04  21:00:00,154711044.8,304251714.9,0,0,11958839.95,0
 01/04  22:00:00,71199332.24,50131510.75,0,0,4359600,0
 01/04  23:00:00,73737302.23,51352044.17,0,0,6883120.937,0
 01/04  24:00:00,53163001.96,61270925.48,0,0,4359600,0
 01/05  01:00:00,31045635.63,20953704.94,0,204023.8692,6863867.936,0
 01/05  02:00:00,30274186.07,0,0,66140.58951,8116310.468,0
 01/05  03:00:00,24578320.12,0,0,0,4359600,0
 01/05  04:00:00,25830530.95,0,0,0,5611810.829,0
 01/05  05:00:00,25830488.38,0,0,0,5611768.257,0
 01/05  06:00:00,25798330.05,708173.7945,0,128243.7617,4359600,0
 01/05  07:00:00,33600333.45,765788.9891,0,112161.7946,4359600,0
 01/05  08:00:00,36558467.64,72005130.42,0,787568.6912,6863310.201,0
 01/05  09:00:00,63200709.46,422219844.4,0,120437.1682,8115013.159,0
 01/05  10:00:00,129285473.4,516611296.3,0,0,6875805.98,0
 01/05  11:00:00,176952382.2,385125886.3,0,0,6891033.575,0
 01/05  12:00:00,179129676.6,309549404.7,0,0,9434180.926,0
 01/05  13:00:00,182575354.2,486032150.6,0,0,12012897.48,0
 01/05  14:00:00,179217936.7,430266692.6,0,0,9597365.066,0
 01/05  15:00:00,182716377.5,405441630.8,0,0,13188073.03,0
 01/05  16:00:00,179166004.9,407190457.1,0,0,9639769.316,0
 01/05  17:00:00,194514319.9,442726886.2,0,0,11805566.41,0
 01/05  18:00:00,198999431.1,471760441.3,0,0,9450571.893,0
 01/05  19:00:00,199000594.1,303256708,0,0,9448423.306,0
 01/05  20:00:00,201263834.3,328353582.2,0,0,11982667.3,0
 01/05  21:00:00,152855084.1,333478480.1,0,0,9425420.851,0
 01/05  22:00:00,71315395.77,58280120.53,0,0,4359600,0
 01/05  23:00:00,73859450.87,59573530.24,0,0,6883155.433,0
 01/05  24:00:00,57030297.02,68932449.98,0,0,8116152.551,0
 01/06  01:00:00,45863271.17,1062754.646,0,111180.6294,4359600,0
 01/06  02:00:00,24578320.12,0,0,0,4359600,0
 01/06  03:00:00,25830429.62,0,0,0,5611709.494,0
 01/06  04:00:00,28335054.99,0,0,0,8116334.874,0
 01/06  05:00:00,24578320.12,0,0,0,4359600,0
 01/06  06:00:00,26347041.73,669734.6819,0,131072.3602,4359600,0
 01/06  07:00:00,37132335.67,657168.6505,0,159875.7486,8116829.807,0
 01/06  08:00:00,33806591.95,88045529.51,0,430226.5914,4359600,0
 01/06  09:00:00,59502543.92,430860914.1,0,114981.1109,4359600,0
 01/06  10:00:00,132376073.4,544305720.9,0,0,9403606.198,0
 01/06  11:00:00,177970210,432929513.7,0,0,8147812.877,0
 01/06  12:00:00,177750481.6,402256348,0,0,8164591.944,0
 01/06  13:00:00,182483986.8,658881013.5,0,0,12012818.82,0
 01/06  14:00:00,182724313.3,640520585.9,0,0,12369892.48,0
 01/06  15:00:00,182031398.2,645634454.1,0,0,11697182.96,0
 01/06  16:00:00,179207904,667083610.7,0,0,8294607.307,0
 01/06  17:00:00,197964356.3,721457627.8,0,0,11876486.68,0
 01/06  18:00:00,201882121.3,749290046.6,0,0,10722017.89,0
 01/06  19:00:00,198679507.2,515958840.7,0,0,8175920.543,0
 01/06  20:00:00,203218851.8,530440483.7,0,0,11982095.8,0
 01/06  21:00:00,151566150.4,525717993.2,0,0,6892529.986,0
 01/06  22:00:00,73426038.11,87559622.97,0,0,6038270.782,0
 01/06  23:00:00,76329828.5,86273855.06,0,0,8960287.013,0
 01/06  24:00:00,74260138.96,88950501.2,0,0,6863808.878,0
 01/07  01:00:00,45994309.93,16158802.03,0,0,4359600,0
 01/07  02:00:00,26265772.03,1026435.254,0,49802.65509,4359600,0
 01/07  03:00:00,27568420.97,671452.9516,0,100048.3109,5612003.289,0
 01/07  04:00:00,28688629.04,3378915.053,0,128641.9757,5611851.523,0
 01/07  05:00:00,30547869.38,3167228.334,0,28535.02254,8117081.906,0
 01/07  06:00:00,27445607.7,4083676.03,0,137872.1683,4359600,0
 01/07  07:00:00,37001371.81,6238732.536,0,203881.2807,6864602.175,0
 01/07  08:00:00,35132222.81,123514597.3,0,204578.4922,4359600,0
 01/07  09:00:00,61204419.69,528518880.1,0,89523.56243,5611447.846,0
 01/07  10:00:00,127976843.7,620775857.3,0,0,5927170.676,0
 01/07  11:00:00,181107910.2,485631231.8,0,0,10369254.38,0
 01/07  12:00:00,182210444.2,405639973.9,0,0,12594365.44,0
 01/07  13:00:00,175332241.3,649469187.7,0,0,5009347.503,0
 01/07  14:00:00,183570939.4,611078032,0,0,13311703.13,0
 01/07  15:00:00,183564409.7,617389610.6,0,0,13306489.99,0
 01/07  16:00:00,184393265.2,662932925,0,0,13277984.17,0
 01/07  17:00:00,186423840.4,729009738.9,0,0,4359600,0
 01/07  18:00:00,203758370.4,780871823.6,0,0,13269697.95,0
 01/07  19:00:00,155882387.8,553688829.1,0,0,11458728.96,0
 01/07  20:00:00,73561150.04,89945952.22,0,0,6132057.316,0
 01/07  21:00:00,74257533.44,85914357.42,0,0,6892786.617,0
 01/07  22:00:00,72529668.2,88717682.97,0,0,5131694.45,0
 01/07  23:00:00,73523125.28,88952850.04,0,0,6113660.156,0
 01/07  24:00:00,71780551.6,90391941.04,0,0,4359600,0
 01/08  01:00:00,24578320.12,0,0,0,4359600,0
 01/08  02:00:00,30747301.26,682791.8572,0,228247.2933,8116801.51,0
 01/08  03:00:00,30630954.3,1478401.581,0,112042.8588,8116658.988,0
 01/08  04:00:00,27803236.15,1800459.309,0,62024.4977,5611900.738,0
 01/08  05:00:00,27431846.06,3490780.373,0,124110.5196,4359600,0
 01/08  06:00:00,26803634.97,3015119.642,0,41782.5208,4359600,0
 01/08  07:00:00,34091806.76,5086085.167,0,57752.0246,4359600,0
 01/08  08:00:00,20444033.81,3072781.815,0,28974.15394,4359600,0
