Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,63758180.7442619,7195417.26806766,0.0,0.0,9191897.70116774,28085665.774743,234218156.83207,227217877.142359,7000279.68971098 
 01/01  02:00:00,62956198.5805582,8512843.72173687,0.0,0.0,9191897.70116774,25966257.1575119,282642916.286342,278629753.193476,4013163.09286615 
 01/01  03:00:00,62036055.7277744,8652405.1776749,0.0,0.0,9191897.70116774,24906552.8488963,283571028.612874,281798238.060411,1772790.55246284 
 01/01  04:00:00,61730330.2154388,8876531.81964715,0.0,0.0,9191897.70116774,24376700.6945885,290230901.278734,288458110.803648,1772790.4750862 
 01/01  05:00:00,69317571.9824341,8988397.17468117,0.0,0.0,13777384.0031325,27266590.8044786,295173732.144764,291160570.925321,4013161.21944331 
 01/01  06:00:00,85510488.4166973,8842308.74592086,0.0,0.0,21687347.8740217,35695631.7957978,306411346.313332,285222023.658653,21189322.6546793 
 01/01  07:00:00,104322915.993744,8509032.43456045,0.0,0.0,23445117.6231082,53083565.9327438,344572004.154754,273347805.567602,71224198.5871513 
 01/01  08:00:00,101010482.40696,8241227.06533382,0.0,0.0,21649135.488172,64691719.8499096,339299272.794266,263594340.554749,75704932.2395169 
 01/01  09:00:00,86212287.0123938,7786516.78938695,0.0,0.0,13204198.2153869,65221572.0042175,320058346.937227,247340571.992177,72717774.9450503 
 01/01  10:00:00,75281682.058652,7020986.46146737,0.0,0.0,11178941.7653525,57081753.8288549,282703247.887339,218946944.810427,63756303.0769123 
 01/01  11:00:00,63970134.8004778,6209295.33452163,0.0,0.0,11178941.7653525,46581897.69791,247482206.732012,189700218.233854,57781988.4981587 
 01/01  12:00:00,63916414.845034,5625723.22530176,0.0,0.0,11178941.7653525,47111749.8522178,215782178.711635,169202030.048639,46580148.6629959 
 01/01  13:00:00,63181771.8912408,5420932.42609984,0.0,0.0,11178941.7653525,46581897.69791,201757195.236943,161151361.152701,40605834.0842423 
 01/01  14:00:00,61388513.3876327,5217230.38562779,0.0,0.0,11178941.7653525,44992341.2349867,189807936.797033,153682838.646856,36125098.1501771 
 01/01  15:00:00,60729200.3980381,5087769.55055361,0.0,0.0,11178941.7653525,44462489.0806789,181036138.04111,149391775.824998,31644362.216112 
 01/01  16:00:00,65638286.3485466,5082821.46900168,0.0,0.0,14503419.3342769,46052045.5436022,185521177.972801,149396079.822624,36125098.1501771 
 01/01  17:00:00,105031654.651868,4798117.57780358,0.0,0.0,23406905.2372585,63969831.8348561,182554772.62738,140455359.898449,42099412.7289307 
 01/01  18:00:00,136958902.320186,4266659.53425998,0.0,0.0,30170497.5326565,83236545.250682,179707039.315301,124165418.784175,55541620.5311262 
 01/01  19:00:00,144807419.439475,3975938.46710122,0.0,0.0,38309735.7186439,83236545.250682,180655990.023412,115406108.301811,65249881.7216007 
 01/01  20:00:00,141296852.821748,3954772.57104689,0.0,0.0,44309080.2970478,73747799.9507474,176614286.170951,114351561.738727,62262724.4322239 
 01/01  21:00:00,139730879.236668,3973234.20154951,0.0,0.0,44844053.6989436,71628391.3335163,171826295.873602,114791096.697787,57035199.1758146 
 01/01  22:00:00,120205440.884142,4116399.52824101,0.0,0.0,33074638.8572341,63729202.4965049,165608670.758869,119028522.095873,46580148.6629959 
 01/01  23:00:00,95752748.3602946,4630832.22647582,0.0,0.0,21305224.0155246,50531492.1164157,175602814.799871,134996980.715628,40605834.0842423 
 01/01  24:00:00,75147879.1230978,5253395.64624526,0.0,0.0,12745649.5851904,37863633.8906343,177476033.395727,154793143.047746,22682890.3479816 
 01/02  01:00:00,62607791.3194343,6045027.84323986,0.0,0.0,9191897.70116774,28085665.774743,188529336.711079,181523038.131095,7006298.57998395 
 01/02  02:00:00,60823063.5507662,6379708.69194468,0.0,0.0,9191897.70116774,25966257.1575119,196369088.457342,192351839.172103,4017249.28523866 
 01/02  03:00:00,59919807.6304889,6536157.08038943,0.0,0.0,9191897.70116774,24906552.8488963,198635849.457318,196861951.61806,1773897.83925751 
 01/02  04:00:00,59497677.4414537,6643879.04566198,0.0,0.0,9191897.70116774,24376700.6945885,201744539.600011,199970611.788487,1773927.81152409 
 01/02  05:00:00,66738394.4021046,6409219.59435166,0.0,0.0,13777384.0031325,27266590.8044786,194518537.853125,190500562.878607,4017974.97451818 
 01/02  06:00:00,82703242.9624404,6035063.29166329,0.0,0.0,21687347.8740217,35695631.7957978,198823114.089352,177595252.01162,21227862.077732 
 01/02  07:00:00,101295936.727997,5482053.1688115,0.0,0.0,23445117.6231082,53083565.9327438,231287451.388124,159915177.020517,71372274.3676068 
