Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,310862997.888051,9192410.56164876,0.0,180799319.492104,9649497.64221072,57896985.8532643,13833057.481066,13761057.481066,72000. 
 01/01  02:00:00,304691194.941682,7865622.66988627,0.0,175954304.437498,9649497.64221072,57896985.8532643,17791677.5503361,17719677.5503361,72000. 
 01/01  03:00:00,364873320.575461,9832028.33735784,0.0,234170024.403804,9649497.64221072,57896985.8532643,29070811.997633,25100058.3240742,3970753.67355881 
 01/01  04:00:00,312050327.007561,7865622.66988627,0.0,183313436.503376,9649497.64221072,57896985.8532643,19939837.0869433,19867837.0869433,72000. 
 01/01  05:00:00,374356139.407208,9832028.33735784,0.0,243652843.235551,9649497.64221072,57896985.8532643,31549077.2249558,27578122.9689188,3970954.25603701 
 01/01  06:00:00,317930917.645226,7865622.66988627,0.0,189194027.141041,9649497.64221072,57896985.8532643,21735422.1830034,21663422.1830034,72000. 
 01/01  07:00:00,381402278.602618,9832028.33735784,0.0,250698982.430961,9649497.64221072,57896985.8532643,33296109.1958701,29325135.1457069,3970974.05016315 
 01/01  08:00:00,281655493.563202,7865622.66988627,0.0,188448203.059017,9649497.64221072,57896985.8532643,22878607.159584,22806607.159584,72000. 
 01/01  09:00:00,269744655.924691,9832028.33735784,0.0,192335759.753034,9649497.64221072,57896985.8532643,32816991.95481,28846019.9566984,3970971.9981116 
 01/01  10:00:00,192298786.450699,7865622.66988627,0.0,116856295.946514,9649497.64221072,57896985.8532643,20335271.2278108,20263271.2278108,72000. 
 01/01  11:00:00,217762464.651456,9832028.33735784,0.0,140353568.4798,9649497.64221072,57896985.8532643,22627331.4414417,22555331.4414417,72000. 
 01/01  12:00:00,173746707.700655,7865622.66988627,0.0,98304217.19647,9649497.64221072,57896985.8532643,18035834.4569559,14064882.7342148,3970951.72274111 
 01/01  13:00:00,192925535.319322,8600345.12628399,0.0,116748322.35874,9649497.64221072,57896985.8532643,18518823.5225169,14547695.2134633,3971128.30905367 
 01/01  14:00:00,157421542.349917,5402256.24773857,0.0,84442418.2678801,9649497.64221072,57896985.8532643,8506277.9191264,8434277.9191264,72000. 
 01/01  15:00:00,182529114.037528,6752820.30967321,0.0,108199425.893556,9649497.64221072,57896985.8532643,12809418.8694545,8838312.45057227,3971106.41888223 
 01/01  16:00:00,167782059.087084,6880276.10102719,0.0,93324915.1517583,9649497.64221072,57896985.8532643,5573183.05550802,5501183.05550802,72000. 
 01/01  17:00:00,238927781.047208,8600345.12628399,0.0,127220968.086626,9649497.64221072,57896985.8532643,11065464.1736992,7094504.1335623,3970960.04013688 
 01/01  18:00:00,237269672.502072,7865622.66988627,0.0,108532781.997888,9649497.64221072,57896985.8532643,4839436.71393341,4767436.71393341,72000. 
 01/01  19:00:00,277488408.769715,9832028.33735784,0.0,146785112.598059,9649497.64221072,57896985.8532643,11930425.3675406,7959666.05440392,3970759.31313668 
 01/01  20:00:00,246582044.108576,7865622.66988627,0.0,117845153.604392,9649497.64221072,57896985.8532643,6015494.45079359,5943494.45079359,72000. 
 01/01  21:00:00,281398321.179295,9832028.33735784,0.0,150695025.007639,9649497.64221072,57896985.8532643,8789950.42046565,8717950.42046565,72000. 
 01/01  22:00:00,248439814.121134,7865622.66988627,0.0,119702923.616949,9649497.64221072,57896985.8532643,10602462.502151,6631060.1527757,3971402.34937534 
 01/01  23:00:00,288158873.26093,9832028.33735784,0.0,157455577.089274,9649497.64221072,57896985.8532643,9717143.81010132,9645143.81010132,72000. 
 01/01  24:00:00,256293969.227381,7865622.66988627,0.0,127557078.723196,9649497.64221072,57896985.8532643,11408299.3273468,7437383.54098281,3970915.78636401 
 01/02  01:00:00,312002902.898695,9832028.33735784,0.0,162000611.442617,9649497.64221072,77195981.1376857,11688710.5886261,11616710.5886261,72000. 
 01/02  02:00:00,278550681.991668,7865622.66988627,0.0,130514796.203061,9649497.64221072,77195981.1376857,13472115.9334121,9500963.04074717,3971152.89266495 
 01/02  03:00:00,316975420.188512,9832028.33735784,0.0,166973128.732434,9649497.64221072,77195981.1376857,13156511.766788,13084511.766788,72000. 
 01/02  04:00:00,279903880.605386,7865622.66988627,0.0,131867994.81678,9649497.64221072,77195981.1376857,14023735.749513,10052575.215023,3971160.53448996 
 01/02  05:00:00,312511411.571376,9832028.33735784,0.0,162509120.115298,9649497.64221072,77195981.1376857,13122828.8181751,13050828.8181751,72000. 
 01/02  06:00:00,280804296.143482,7865622.66988627,0.0,123118912.712665,19298995.2844214,77195981.1376857,12608406.8907543,8636697.03755174,3971709.85320253 
