Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 04/18  16:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,1281271.596,1281271.596,0,,,,,,,,,,,,,,,,,,,
 04/18  17:00:00,206391444.2,43715601.07,0,124348.1534,123775759.6,38775735.4,3468223.032,3468223.032,0,,,,,,,,,,,,,,,,,,,
 04/18  18:00:00,161393885.7,43728484.57,0,680907.7378,82517173.07,34467320.35,37597711.56,37597711.56,0,,,,,,,,,,,,,,,,,,,
 04/18  19:00:00,181531945.6,43728484.57,0,980567.5902,82517173.07,34467320.35,77370669.74,77370669.74,0,,,,,,,,,,,,,,,,,,,
 04/18  20:00:00,173496625.5,43728484.57,0,1087324.705,68764310.89,30158905.31,103907103.5,103907103.5,0,,,,,,,,,,,,,,,,,,,
 04/18  21:00:00,74496984.53,0,0,0,27505724.36,17233660.18,0,0,0,,,,,,,,,,,,,,,,,,,
 04/18  22:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/18  23:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/18  24:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  01:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  02:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  03:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  04:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  05:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  06:00:00,68516725.91,43728484.57,0,4335380.169,6876431.089,8616830.088,507193689.2,507193689.2,0,,,,,,,,,,,,,,,,,,,
 04/19  07:00:00,91689550.46,43728484.57,0,3221681.363,27505724.36,17233660.18,391375522.5,391375522.5,0,,,,,,,,,,,,,,,,,,,
 04/19  08:00:00,145383568.3,43728484.57,0,2731867.527,68764310.89,30158905.31,334533863.9,334533863.9,0,,,,,,,,,,,,,,,,,,,
 04/19  09:00:00,208378628.5,43728484.57,0,2098648.921,123775759.6,38775735.4,249237152.9,249237152.9,0,,,,,,,,,,,,,,,,,,,
 04/19  10:00:00,207951802.1,43728484.57,0,1671822.489,123775759.6,38775735.4,213843096.2,213843096.2,0,,,,,,,,,,,,,,,,,,,
 04/19  11:00:00,207616973.4,43728484.57,0,1336993.872,123775759.6,38775735.4,172558176.7,172558176.7,0,,,,,,,,,,,,,,,,,,,
 04/19  12:00:00,207253677.7,43728484.57,0,973698.1323,123775759.6,38775735.4,143033824.7,143033824.7,0,,,,,,,,,,,,,,,,,,,
 04/19  13:00:00,206889435.3,43728484.57,0,609455.7074,123775759.6,38775735.4,111431172.3,111431172.3,0,,,,,,,,,,,,,,,,,,,
 04/19  14:00:00,206979205.7,43728484.57,0,699226.1013,123775759.6,38775735.4,104100454.8,104100454.8,0,,,,,,,,,,,,,,,,,,,
 04/19  15:00:00,207126201,43728484.57,0,846221.3792,123775759.6,38775735.4,107675777,107675777,0,,,,,,,,,,,,,,,,,,,
 04/19  16:00:00,207268411.3,43728484.57,0,988431.7358,123775759.6,38775735.4,121078622.7,121078622.7,0,,,,,,,,,,,,,,,,,,,
 04/19  17:00:00,207412165.9,43728484.57,0,1132186.355,123775759.6,38775735.4,129644380.1,129644380.1,0,,,,,,,,,,,,,,,,,,,
 04/19  18:00:00,162017229.4,43728484.57,0,1304251.369,82517173.07,34467320.35,146729862.8,146729862.8,0,,,,,,,,,,,,,,,,,,,
 04/19  19:00:00,177172030.9,43728484.57,0,1580252.957,82517173.07,34467320.35,180945897.2,180945897.2,0,,,,,,,,,,,,,,,,,,,
 04/19  20:00:00,174168960.8,43728484.57,0,1759660.051,68764310.89,30158905.31,202855103.8,202855103.8,0,,,,,,,,,,,,,,,,,,,
 04/19  21:00:00,74496984.53,0,0,0,27505724.36,17233660.18,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  22:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  23:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/19  24:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  01:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  02:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  03:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  04:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  05:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  06:00:00,63867675.51,43728484.57,0,4645929.76,6876431.089,8616830.088,528273062.9,528273062.9,0,,,,,,,,,,,,,,,,,,,
 04/20  07:00:00,91838175.59,43728484.57,0,3370306.491,27505724.36,17233660.18,405137905.8,405137905.8,0,,,,,,,,,,,,,,,,,,,
 04/20  08:00:00,145449115.4,43728484.57,0,2797414.671,68764310.89,30158905.31,347100799.7,347100799.7,0,,,,,,,,,,,,,,,,,,,
 04/20  09:00:00,208745631.5,43728484.57,0,2465651.948,123775759.6,38775735.4,273085885.3,273085885.3,0,,,,,,,,,,,,,,,,,,,
 04/20  10:00:00,208678224.7,43728484.57,0,2398245.109,123775759.6,38775735.4,261787174.5,261787174.5,0,,,,,,,,,,,,,,,,,,,
 04/20  11:00:00,208482434.8,43728484.57,0,2202455.26,123775759.6,38775735.4,238345021.7,238345021.7,0,,,,,,,,,,,,,,,,,,,
 04/20  12:00:00,208395041.5,43728484.57,0,2115061.96,123775759.6,38775735.4,232228918.6,232228918.6,0,,,,,,,,,,,,,,,,,,,
 04/20  13:00:00,208342255.6,43728484.57,0,2062276,123775759.6,38775735.4,228479638.2,228479638.2,0,,,,,,,,,,,,,,,,,,,
 04/20  14:00:00,208356718.7,43728484.57,0,2076739.171,123775759.6,38775735.4,226470578.7,226470578.7,0,,,,,,,,,,,,,,,,,,,
 04/20  15:00:00,208434977.4,43728484.57,0,2154997.843,123775759.6,38775735.4,229730227.2,229730227.2,0,,,,,,,,,,,,,,,,,,,
 04/20  16:00:00,208596002.8,43728484.57,0,2316023.19,123775759.6,38775735.4,247545311.6,247545311.6,0,,,,,,,,,,,,,,,,,,,
 04/20  17:00:00,208781034.3,43728484.57,0,2501054.696,123775759.6,38775735.4,266176387.2,266176387.2,0,,,,,,,,,,,,,,,,,,,
 04/20  18:00:00,163443657.7,43728484.57,0,2730679.67,82517173.07,34467320.35,290245880.4,290245880.4,0,,,,,,,,,,,,,,,,,,,
 04/20  19:00:00,178642993.4,43728484.57,0,3051215.455,82517173.07,34467320.35,326367796,326367796,0,,,,,,,,,,,,,,,,,,,
 04/20  20:00:00,175613776.2,43728484.57,0,3204475.392,68764310.89,30158905.31,342796653.2,342796653.2,0,,,,,,,,,,,,,,,,,,,
 04/20  21:00:00,74496984.53,0,0,0,27505724.36,17233660.18,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  22:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  23:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/20  24:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  01:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  02:00:00,45351124.64,38650.47981,0,61612.982,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  03:00:00,45524789.16,75389.78738,0,198538.1961,6876431.089,8616830.088,1122186.932,1122186.932,0,,,,,,,,,,,,,,,,,,,
 04/21  04:00:00,45663564.91,126963.0014,0,285740.7338,6876431.089,8616830.088,2677712.792,2677712.792,0,,,,,,,,,,,,,,,,,,,
 04/21  05:00:00,45777047.84,168202.7772,0,357983.8885,6876431.089,8616830.088,3918333.769,3918333.769,0,,,,,,,,,,,,,,,,,,,
 04/21  06:00:00,65267619.12,43728484.57,0,6045873.376,6876431.089,8616830.088,686943636.1,686943636.1,0,,,,,,,,,,,,,,,,,,,
 04/21  07:00:00,92940829.6,43728484.57,0,4472960.501,27505724.36,17233660.18,526274806.6,526274806.6,0,,,,,,,,,,,,,,,,,,,
 04/21  08:00:00,146210144.6,43728484.57,0,3558443.863,68764310.89,30158905.31,435259408,435259408,0,,,,,,,,,,,,,,,,,,,
 04/21  09:00:00,208947688.9,43728484.57,0,2667709.367,123775759.6,38775735.4,321312194.6,321312194.6,0,,,,,,,,,,,,,,,,,,,
 04/21  10:00:00,208145761.4,43728484.57,0,1865781.841,123775759.6,38775735.4,250556331,250556331,0,,,,,,,,,,,,,,,,,,,
 04/21  11:00:00,207376225.2,43728484.57,0,1096245.66,123775759.6,38775735.4,187847176.6,187847176.6,0,,,,,,,,,,,,,,,,,,,
 04/21  12:00:00,206854198.5,43728484.57,0,574218.9014,123775759.6,38775735.4,146693465.3,146693465.3,0,,,,,,,,,,,,,,,,,,,
 04/21  13:00:00,206529421.9,43728484.57,0,249442.3724,123775759.6,38775735.4,117355032.4,117355032.4,0,,,,,,,,,,,,,,,,,,,
 04/21  14:00:00,206454774.1,43728484.57,0,174794.5494,123775759.6,38775735.4,93301394.17,93301394.17,0,,,,,,,,,,,,,,,,,,,
 04/21  15:00:00,206457127.4,43728484.57,0,177147.8029,123775759.6,38775735.4,51773116.81,51773116.81,0,,,,,,,,,,,,,,,,,,,
 04/21  16:00:00,206672758.2,43728484.57,0,392778.5961,123775759.6,38775735.4,59123503.78,59123503.78,0,,,,,,,,,,,,,,,,,,,
 04/21  17:00:00,207029494.2,43728484.57,0,749514.5939,123775759.6,38775735.4,94224930.7,94224930.7,0,,,,,,,,,,,,,,,,,,,
 04/21  18:00:00,161892426.6,43728484.57,0,1179448.646,82517173.07,34467320.35,138265283,138265283,0,,,,,,,,,,,,,,,,,,,
 04/21  19:00:00,177271052.6,43728484.57,0,1679274.557,82517173.07,34467320.35,204044224.3,204044224.3,0,,,,,,,,,,,,,,,,,,,
 04/21  20:00:00,174481785.6,43728484.57,0,2072484.807,68764310.89,30158905.31,263408046,263408046,0,,,,,,,,,,,,,,,,,,,
 04/21  21:00:00,74496984.53,0,0,0,27505724.36,17233660.18,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  22:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  23:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/21  24:00:00,45250861.18,0,0,0,6876431.089,8616830.088,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  01:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  02:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  03:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
