Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  14:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,174392244.1,174392244.1,0,,,,,,,,,,,,,,,,,,,
 01/02  15:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,186369214.2,186369214.2,0,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,195355910.4,195355910.4,0,,,,,,,,,,,,,,,,,,,
 01/02  17:00:00,271442239.8,39659533.32,0,0,177591676.9,32775829.57,207056555.7,207056555.7,0,,,,,,,,,,,,,,,,,,,
 01/02  18:00:00,116052828,10165766.95,0,0,59197225.64,14567035.36,192521449,192521449,0,,,,,,,,,,,,,,,,,,,
 01/02  19:00:00,65302818.2,9805850.812,0,0,19732408.55,3641758.841,188445326.5,188445326.5,0,,,,,,,,,,,,,,,,,,,
 01/02  20:00:00,68878478.94,13381511.55,0,0,19732408.55,3641758.841,257961452.1,257961452.1,0,,,,,,,,,,,,,,,,,,,
 01/02  21:00:00,65602297.28,10105329.89,0,0,19732408.55,3641758.841,195221875.1,195221875.1,0,,,,,,,,,,,,,,,,,,,
 01/02  22:00:00,68825280.68,13328313.29,0,0,19732408.55,3641758.841,257666983.5,257666983.5,0,,,,,,,,,,,,,,,,,,,
 01/02  23:00:00,65700748.4,10203781.01,0,0,19732408.55,3641758.841,197630156,197630156,0,,,,,,,,,,,,,,,,,,,
 01/02  24:00:00,69636528.02,14139560.63,0,0,19732408.55,3641758.841,274155855,274155855,0,,,,,,,,,,,,,,,,,,,
 01/03  01:00:00,66437861.86,10940894.48,0,0,19732408.55,3641758.841,212390533.7,212390533.7,0,,,,,,,,,,,,,,,,,,,
 01/03  02:00:00,70276438.37,14779470.98,0,0,19732408.55,3641758.841,287126773,287126773,0,,,,,,,,,,,,,,,,,,,
 01/03  03:00:00,67175776.5,11678809.12,0,0,19732408.55,3641758.841,217927317.5,217927317.5,0,,,,,,,,,,,,,,,,,,,
 01/03  04:00:00,71513313.3,16016345.91,0,0,19732408.55,3641758.841,293638141.9,293638141.9,0,,,,,,,,,,,,,,,,,,,
 01/03  05:00:00,68118785.92,12621818.53,0,0,19732408.55,3641758.841,237137283,237137283,0,,,,,,,,,,,,,,,,,,,
 01/03  06:00:00,72516876.68,17019909.29,0,0,19732408.55,3641758.841,338295296.1,338295296.1,0,,,,,,,,,,,,,,,,,,,
 01/03  07:00:00,95964221.32,40467253.93,0,0,19732408.55,3641758.841,441411385.6,441411385.6,0,,,,,,,,,,,,,,,,,,,
 01/03  08:00:00,148313282.3,40467253.93,0,0,78929634.19,18208794.21,390924201.1,390924201.1,0,,,,,,,,,,,,,,,,,,,
 01/03  09:00:00,207728184.5,40467253.93,0,0,138126859.8,29134070.73,341020889.2,341020889.2,0,,,,,,,,,,,,,,,,,,,
 01/03  10:00:00,249759177.9,39391671.39,0,0,177591676.9,32775829.57,304698675,304698675,0,,,,,,,,,,,,,,,,,,,
 01/03  11:00:00,249759177.9,39391671.39,0,0,177591676.9,32775829.57,280990209.1,280990209.1,0,,,,,,,,,,,,,,,,,,,
 01/03  12:00:00,249848465.2,39480958.7,0,0,177591676.9,32775829.57,258406801.6,258406801.6,0,,,,,,,,,,,,,,,,,,,
 01/03  13:00:00,226518941.5,39525602.36,0,0,157859268.4,29134070.73,246655971.2,246655971.2,0,,,,,,,,,,,,,,,,,,,
 01/03  14:00:00,249982396.2,39614889.66,0,0,177591676.9,32775829.57,230321876.2,230321876.2,0,,,,,,,,,,,,,,,,,,,
 01/03  15:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,229468292.5,229468292.5,0,,,,,,,,,,,,,,,,,,,
 01/03  16:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,234426164.8,234426164.8,0,,,,,,,,,,,,,,,,,,,
 01/03  17:00:00,271397596.2,39614889.66,0,0,177591676.9,32775829.57,249493815.7,249493815.7,0,,,,,,,,,,,,,,,,,,,
 01/03  18:00:00,117515170.3,11628109.31,0,0,59197225.64,14567035.36,219847722.3,219847722.3,0,,,,,,,,,,,,,,,,,,,
 01/03  19:00:00,67571344.67,12074377.28,0,0,19732408.55,3641758.841,234357593.3,234357593.3,0,,,,,,,,,,,,,,,,,,,
 01/03  20:00:00,72113375.98,16616408.59,0,0,19732408.55,3641758.841,334734759.5,334734759.5,0,,,,,,,,,,,,,,,,,,,
 01/03  21:00:00,68929387.25,13432419.86,0,0,19732408.55,3641758.841,286193175,286193175,0,,,,,,,,,,,,,,,,,,,
 01/03  22:00:00,72785535.08,17288567.69,0,0,19732408.55,3641758.841,365434762.8,365434762.8,0,,,,,,,,,,,,,,,,,,,
 01/03  23:00:00,69372640.74,13875673.36,0,0,19732408.55,3641758.841,307096572.8,307096572.8,0,,,,,,,,,,,,,,,,,,,
 01/03  24:00:00,73200704.26,17703736.87,0,0,19732408.55,3641758.841,381565601.7,381565601.7,0,,,,,,,,,,,,,,,,,,,
 01/04  01:00:00,69627993.32,14131025.93,0,0,19732408.55,3641758.841,317818232.9,317818232.9,0,,,,,,,,,,,,,,,,,,,
 01/04  02:00:00,73439480.86,17942513.47,0,0,19732408.55,3641758.841,391399624.2,391399624.2,0,,,,,,,,,,,,,,,,,,,
 01/04  03:00:00,69834089.08,14337121.69,0,0,19732408.55,3641758.841,326656142.2,326656142.2,0,,,,,,,,,,,,,,,,,,,
 01/04  04:00:00,73733583.52,18236616.13,0,0,19732408.55,3641758.841,403652404.8,403652404.8,0,,,,,,,,,,,,,,,,,,,
 01/04  05:00:00,70134500.42,14637533.03,0,0,19732408.55,3641758.841,341076275.3,341076275.3,0,,,,,,,,,,,,,,,,,,,
 01/04  06:00:00,74016795.44,18519828.05,0,0,19732408.55,3641758.841,415932699.4,415932699.4,0,,,,,,,,,,,,,,,,,,,
 01/04  07:00:00,95964221.32,40467253.93,0,0,19732408.55,3641758.841,504429849.8,504429849.8,0,,,,,,,,,,,,,,,,,,,
 01/04  08:00:00,148313282.3,40467253.93,0,0,78929634.19,18208794.21,431646045.9,431646045.9,0,,,,,,,,,,,,,,,,,,,
 01/04  09:00:00,207728184.5,40467253.93,0,0,138126859.8,29134070.73,334747689.2,334747689.2,0,,,,,,,,,,,,,,,,,,,
 01/04  10:00:00,249759177.9,39391671.39,0,0,177591676.9,32775829.57,283581493.9,283581493.9,0,,,,,,,,,,,,,,,,,,,
 01/04  11:00:00,249848465.2,39480958.7,0,0,177591676.9,32775829.57,256468105.4,256468105.4,0,,,,,,,,,,,,,,,,,,,
