Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 10/21  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,129785513.6,129785513.6,0,,,,,,,,,,,,,,,,,,,
 10/21  12:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,74196422.88,74196422.88,0,,,,,,,,,,,,,,,,,,,
 10/21  13:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,31380560.5,31380560.5,0,,,,,,,,,,,,,,,,,,,
 10/21  14:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,7373365.338,7373365.338,0,,,,,,,,,,,,,,,,,,,
 10/21  15:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,586570.5169,586570.5169,0,,,,,,,,,,,,,,,,,,,
 10/21  16:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,4148546.492,4148546.492,0,,,,,,,,,,,,,,,,,,,
 10/21  17:00:00,182482340.4,28252739.55,0,0,118216284.9,29122315.95,40264093.64,40264093.64,0,,,,,,,,,,,,,,,,,,,
 10/21  18:00:00,157925143.5,28252739.55,0,0,65675713.81,22650690.18,126616824.5,126616824.5,0,,,,,,,,,,,,,,,,,,,
 10/21  19:00:00,125183232.3,28252739.55,0,0,39405428.29,16179064.42,169718402.4,169718402.4,0,,,,,,,,,,,,,,,,,,,
 10/21  20:00:00,125183232.3,28252739.55,0,0,39405428.29,16179064.42,200221997.1,200221997.1,0,,,,,,,,,,,,,,,,,,,
 10/21  21:00:00,92441320.97,28252739.55,0,0,13135142.76,9707438.65,243127848.3,243127848.3,0,,,,,,,,,,,,,,,,,,,
 10/21  22:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/21  23:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/21  24:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/22  01:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/22  02:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/22  03:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
