FullServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),hospital,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),LargeHotel,Cooling:Electricity [J](Hourly),Gas:Facility [J](Hourly),LargeOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MediumOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MitriseAppartment,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),OutPatient,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),PrimarySchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),QuickServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SecondSchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallHotel,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Stand-aloneRetail,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),StripMall,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SuperMarket,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),WareHouse,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly)
317158168.7,0,317158168.7,2513518697,701438901.9,1812079795,3194187753,480933085.3,2713254668,1645885919,0,1645885919,47316404.9,0,47316404.9,434475765.4,0,434475765.4,389927976.4,60875870.34,329052106.1,171113052.6,0,171113052.6,147278173.7,0,147278173.7,322067689.3,0,322067689.3,131061868.6,7388683.319,123673185.3,22784428.17,0,22784428.17,381585082.7,0,381585082.7,381371690.3,0,381371690.3,1467507249,0,1467507249,781105448.1,0,781105448.1
281047430.2,0,281047430.2,2551368373,830871969.8,1720496403,2698531566,347839072.3,2350692493,2221624419,0,2221624419,53989594.71,0,53989594.71,410048686.2,0,410048686.2,385008502.9,61210837.17,323797665.8,191455995.1,0,191455995.1,129833505.9,0,129833505.9,442830904.4,0,442830904.4,123606148,7101776.587,116504371.4,26287816.67,0,26287816.67,367297911.3,0,367297911.3,360927734.7,0,360927734.7,1305135305,0,1305135305,831856383.8,0,831856383.8
268760014.4,0,268760014.4,2594508123,938910477.3,1655597646,2604332355,296640337.8,2307692017,1578321072,0,1578321072,38019265.33,0,38019265.33,390793795,0,390793795,380977568.9,56664421.55,324313147.4,122808911.5,0,122808911.5,122458518,0,122458518,295158785.6,0,295158785.6,109448080.6,7412617.507,102035463.1,18171848.47,0,18171848.47,385847193.4,0,385847193.4,375582263.2,0,375582263.2,1219998668,0,1219998668,624647225.8,0,624647225.8
277554803.9,0,277554803.9,2614944407,989211536,1625732871,2565932579,280691169.9,2285241409,2213408264,0,2213408264,45343867.96,0,45343867.96,382862106.5,0,382862106.5,387980092.1,51794118,336185974.1,138387262.1,0,138387262.1,132261558.5,0,132261558.5,379006688,0,379006688,106335612.5,7580668.363,98754944.18,20700426.11,0,20700426.11,407685396.3,0,407685396.3,396679761.5,0,396679761.5,1177235044,0,1177235044,714525156.7,0,714525156.7
286183166.1,0,286183166.1,2633843315,999657743.7,1634185571,2603607499,252673156.9,2350934342,1721487860,0,1721487860,34112910.43,0,34112910.43,383522611.8,0,383522611.8,384221075.8,54214240.12,330006835.7,106896469.3,0,106896469.3,136326266.4,0,136326266.4,283939332.1,0,283939332.1,111614855.1,7655370.955,103959484.1,18556690.66,0,18556690.66,376814581.7,0,376814581.7,367023936.4,0,367023936.4,1163988931,0,1163988931,586057373.1,0,586057373.1
277897372,34568.2403,277862803.7,2649407384,1007326773,1642080611,2525351206,228215927.7,2297135278,2580889755,0,2580889755,43195095.43,0,43195095.43,376894235.3,0,376894235.3,378430633.1,56818394.92,321612238.2,147602492.8,0,147602492.8,136854176.8,0,136854176.8,424319953.1,0,424319953.1,108958870.3,4660413.785,104298456.6,26798210.77,0,26798210.77,364196997.1,0,364196997.1,358220722.5,0,358220722.5,1153492182,0,1153492182,713569551.4,0,713569551.4
275544204.8,0,275544204.8,2691187313,981012715.1,1710174598,2565829176,281942120.5,2283887055,1946557036,0,1946557036,33614313.32,0,33614313.32,367657222.5,0,367657222.5,381466704.4,53608280.44,327858423.9,132910891.2,0,132910891.2,132393467.7,0,132393467.7,340102522.2,0,340102522.2,110322840,91022.2094,110231817.8,19463130.21,0,19463130.21,397787846.2,0,397787846.2,395032500.6,0,395032500.6,1676403785,0,1676403785,603222247.8,0,603222247.8
268138968.7,0,268138968.7,2819850370,911257827.4,1908592543,2860266136,388979248.5,2471286888,2940786523,0,2940786523,44964011.71,0,44964011.71,367488978.9,0,367488978.9,244246035.2,35694328.2,208551707,197345028.6,0,197345028.6,129448663.3,0,129448663.3,521240688.5,0,521240688.5,128535601.6,51260.85693,128484340.7,24051608.99,0,24051608.99,416762339.1,0,416762339.1,418792377.5,0,418792377.5,1793073175,0,1793073175,765426071.3,0,765426071.3
257841628.1,0,257841628.1,2812860717,932842718.1,1880017999,3044673733,515780035.9,2528893697,2085359605,0,2085359605,34919599.67,0,34919599.67,361405544.4,0,361405544.4,246295325.9,36277642.65,210017683.2,162162891.8,0,162162891.8,124227938.5,0,124227938.5,396932279,0,396932279,126745206.4,150126.0508,126595080.3,20348345.86,0,20348345.86,418738024,0,418738024,425584688,0,425584688,1772335643,0,1772335643,616451797.9,0,616451797.9
253003141.8,0,253003141.8,2873183109,912950187.6,1960232921,3085151754,606664500.2,2478487254,2875073730,0,2875073730,43878753.77,0,43878753.77,360899046.7,0,360899046.7,273400277,35248750.43,238151526.6,208337009.8,0,208337009.8,131808878.5,0,131808878.5,553150172.7,0,553150172.7,130500892.6,840364.969,129660527.6,23332751,0,23332751,416806779.5,0,416806779.5,426232488,0,426232488,1775557801,0,1775557801,740161609,0,740161609
