Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  01:00:00,75495563.44455,5953859.52879001,0.0,0.0,14473678.14936,6471625.7664,189779303.085584,189779303.085584 
 01/02  02:00:00,75640148.8685533,6098444.9527933,0.0,0.0,14473678.14936,6471625.7664,193812830.994427,193812830.994427 
 01/02  03:00:00,78185597.2064579,8643893.29069792,0.0,0.0,14473678.14936,6471625.7664,275665039.007518,275665039.007518 
 01/02  04:00:00,76418767.0441843,6877063.12842432,0.0,0.0,14473678.14936,6471625.7664,218490459.67019,218490459.67019 
 01/02  05:00:00,78341625.6420593,8799921.72629933,0.0,0.0,14473678.14936,6471625.7664,280848823.684938,280848823.684938 
 01/02  06:00:00,75923905.4395384,6382201.52377845,0.0,0.0,14473678.14936,6471625.7664,202685091.7752,202685091.7752 
 01/02  07:00:00,122943048.295974,53401344.3802138,0.0,0.0,14473678.14936,6471625.7664,986696037.489366,986696037.489366 
 01/02  08:00:00,140438108.510454,53401344.3802138,0.0,0.0,57894712.59744,12943251.5328,744904360.832816,744904360.832816 
 01/02  09:00:00,220788816.056214,53401344.3802138,0.0,0.0,144736781.4936,22650690.1824,636442721.804632,636442721.804632 
 01/02  10:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,502158289.295575,502158289.295575 
 01/02  11:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,437985481.708102,437985481.708102 
 01/02  12:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,381371690.290836,381371690.290836 
 01/02  13:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,360927734.653479,360927734.653479 
 01/02  14:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,375582263.189481,375582263.189481 
 01/02  15:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,396679761.473016,396679761.473016 
 01/02  16:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,367023936.443397,367023936.443397 
 01/02  17:00:00,375447467.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,358220722.464021,358220722.464021 
 01/02  18:00:00,391646267.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,395032500.633701,395032500.633701 
 01/02  19:00:00,301568385.238134,53401344.3802138,0.0,0.0,173684137.79232,25886503.0656,418792377.545939,418792377.545939 
 01/02  20:00:00,301568385.238134,53401344.3802138,0.0,0.0,173684137.79232,25886503.0656,425584687.964056,425584687.964056 
 01/02  21:00:00,269385216.056214,53401344.3802138,0.0,0.0,144736781.4936,22650690.1824,426232488.005922,426232488.005922 
 01/02  22:00:00,119434364.13024,0.0,0.0,0.0,57894712.59744,12943251.5328,0.0,0.0 
 01/02  23:00:00,70180888.5924051,639184.676645053,0.0,0.0,14473678.14936,6471625.7664,20739323.3109668,20739323.3109668 
 01/02  24:00:00,72127993.8820151,2586289.96625509,0.0,0.0,14473678.14936,6471625.7664,82807900.008829,82807900.008829 
 01/03  01:00:00,73736843.5973563,4195139.68159629,0.0,0.0,14473678.14936,6471625.7664,133692733.525588,133692733.525588 
 01/03  02:00:00,74039779.2322097,4498075.31644973,0.0,0.0,14473678.14936,6471625.7664,143196242.917359,143196242.917359 
 01/03  03:00:00,74896068.5799334,5354364.66417338,0.0,0.0,14473678.14936,6471625.7664,170618375.06014,170618375.06014 
 01/03  04:00:00,74818523.4845806,5276819.56882057,0.0,0.0,14473678.14936,6471625.7664,167985758.339412,167985758.339412 
 01/03  05:00:00,76346454.7891809,6804750.87342088,0.0,0.0,14473678.14936,6471625.7664,216835768.03317,216835768.03317 
 01/03  06:00:00,76696207.9021397,7154503.98637972,0.0,0.0,14473678.14936,6471625.7664,227880345.236786,227880345.236786 
 01/03  07:00:00,122943048.295974,53401344.3802138,0.0,0.0,14473678.14936,6471625.7664,1017111707.58469,1017111707.58469 
 01/03  08:00:00,140438108.510454,53401344.3802138,0.0,0.0,57894712.59744,12943251.5328,814297019.414235,814297019.414235 
 01/03  09:00:00,220788816.056214,53401344.3802138,0.0,0.0,144736781.4936,22650690.1824,737169539.131914,737169539.131914 
 01/03  10:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,637004253.976959,637004253.976959 
 01/03  11:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,591568390.188083,591568390.188083 
 01/03  12:00:00,343049867.017494,53401344.3802138,0.0,0.0,260526206.68848,29122315.9488,534915873.492208,534915873.492208 
