Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  01:00:00,64423921.0055125,6439083.17170924,0.0,38314.8130632749,13347692.9325,8616830.08824,170598937.401756,170598937.401756 
 01/02  02:00:00,67512702.3529991,9283803.29174252,0.0,282376.040516612,13347692.9325,8616830.08824,218596183.859694,218596183.859694 
 01/02  03:00:00,67888608.3317712,9495319.46059791,0.0,446765.850433276,13347692.9325,8616830.08824,239785360.718636,239785360.718636 
 01/02  04:00:00,69068460.4817116,10573913.4152718,0.0,548024.045699806,13347692.9325,8616830.08824,245091549.97645,245091549.97645 
 01/02  05:00:00,68086808.3328955,9579074.45427477,0.0,561210.857880779,13347692.9325,8616830.08824,239948945.409528,239948945.409528 
 01/02  06:00:00,68250094.4978435,9721381.08236383,0.0,582190.394739713,13347692.9325,8616830.08824,224854267.879537,224854267.879537 
 01/02  07:00:00,137570394.930735,73248697.3894162,0.0,6375174.52057895,13347692.9325,8616830.08824,953797726.470204,953797726.470204 
 01/02  08:00:00,160573598.873063,73248697.3894162,0.0,4706469.57716633,53390771.73,17233660.17648,717566678.291151,717566678.291151 
 01/02  09:00:00,240733668.563577,73248697.3894162,0.0,3849136.54032108,133476929.325,30158905.30884,615885580.806457,615885580.806457 
 01/02  10:00:00,355181895.258509,73248697.3894162,0.0,2898989.68701266,240258472.785,38775735.39708,490544835.231995,490544835.231995 
 01/02  11:00:00,354678090.362314,73248697.3894162,0.0,2395184.79081823,240258472.785,38775735.39708,431688068.562873,431688068.562873 
 01/02  12:00:00,354279379.232187,73248697.3894162,0.0,1996473.66069076,240258472.785,38775735.39708,381585082.714115,381585082.714115 
 01/02  13:00:00,354070873.259148,73248697.3894162,0.0,1787967.68765152,240258472.785,38775735.39708,367297911.304238,367297911.304238 
 01/02  14:00:00,354100328.595792,73248697.3894162,0.0,1817423.02429622,240258472.785,38775735.39708,385847193.360947,385847193.360947 
 01/02  15:00:00,354234451.734517,73248697.3894162,0.0,1951546.16302063,240258472.785,38775735.39708,407685396.30863,407685396.30863 
 01/02  16:00:00,354203836.761249,73248697.3894162,0.0,1920931.18975313,240258472.785,38775735.39708,376814581.713441,376814581.713441 
 01/02  17:00:00,378267742.382012,73248697.3894162,0.0,1996836.81051541,240258472.785,38775735.39708,364196997.058299,364196997.058299 
 01/02  18:00:00,390464405.657471,73248697.3894162,0.0,2199500.08597441,240258472.785,38775735.39708,397787846.188757,397787846.188757 
 01/02  19:00:00,306170908.484071,73248697.3894162,0.0,2300575.55169429,160172315.19,34467320.35296,416762339.109716,416762339.109716 
 01/02  20:00:00,306242005.28626,73248697.3894162,0.0,2371672.35388363,160172315.19,34467320.35296,418738023.97098,418738023.97098 
 01/02  21:00:00,275266778.750288,73248697.3894162,0.0,2400246.7270318,133476929.325,30158905.30884,416806779.511999,416806779.511999 
 01/02  22:00:00,106606431.90648,0.0,0.0,0.0,53390771.73,17233660.17648,0.0,0.0 
 01/02  23:00:00,59521065.2253399,1574542.20459988,0.0,0.0,13347692.9325,8616830.08824,49952255.7285188,49952255.7285188 
 01/02  24:00:00,60177561.2670287,2231038.24628871,0.0,0.0,13347692.9325,8616830.08824,70972521.655001,70972521.655001 
 01/03  01:00:00,62378608.9868931,4432085.96615315,0.0,0.0,13347692.9325,8616830.08824,122247436.520561,122247436.520561 
 01/03  02:00:00,63904103.8232343,5914606.05717984,0.0,42974.7453144727,13347692.9325,8616830.08824,146489355.14544,146489355.14544 
 01/03  03:00:00,64253075.9707265,6119452.12103536,0.0,187100.828951197,13347692.9325,8616830.08824,157312049.271151,157312049.271151 
 01/03  04:00:00,65500140.1499347,7248303.06581942,0.0,305314.06337529,13347692.9325,8616830.08824,173744925.797654,173744925.797654 
 01/03  05:00:00,66234397.6575975,7851597.01900641,0.0,436277.617851138,13347692.9325,8616830.08824,196734382.373469,196734382.373469 
 01/03  06:00:00,68764047.380949,10248387.2639276,0.0,569137.096281444,13347692.9325,8616830.08824,239610829.560588,239610829.560588 
 01/03  07:00:00,137798015.366443,73248697.3894162,0.0,6602794.95628668,13347692.9325,8616830.08824,1001432589.5769,1001432589.5769 
 01/03  08:00:00,160886071.165103,73248697.3894162,0.0,5018941.86920645,53390771.73,17233660.17648,789004972.216057,789004972.216057 
 01/03  09:00:00,241092021.013339,73248697.3894162,0.0,4207488.99008288,133476929.325,30158905.30884,717329441.758638,717329441.758638 
 01/03  10:00:00,355650155.988754,73248697.3894162,0.0,3367250.41725786,240258472.785,38775735.39708,625377024.601917,625377024.601917 
 01/03  11:00:00,355183900.182463,73248697.3894162,0.0,2900994.61096672,240258472.785,38775735.39708,585381011.966626,585381011.966626 
