Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,87417322.0242517,32784680.1881435,0.0,0.0,11542082.9949535,3641758.84115478,1057026987.28219,1057026987.28219 
 01/01  02:00:00,86089165.8451191,31456524.0090108,0.0,0.0,11542082.9949535,3641758.84115478,1183437359.08386,1183437359.08386 
 01/01  03:00:00,95584250.6324153,40951608.7963071,0.0,0.0,11542082.9949535,3641758.84115478,1367672064.40661,1367672064.40661 
 01/01  04:00:00,86019055.6437653,31386413.8076571,0.0,0.0,11542082.9949535,3641758.84115478,1166438188.16147,1166438188.16147 
 01/01  05:00:00,95431980.7296039,40799338.8934957,0.0,0.0,11542082.9949535,3641758.84115478,1358850567.35205,1358850567.35205 
 01/01  06:00:00,85905094.012065,31272452.1759567,0.0,0.0,11542082.9949535,3641758.84115478,1157629743.01444,1157629743.01444 
 01/01  07:00:00,95406011.6925018,40773369.8563935,0.0,0.0,11542082.9949535,3641758.84115478,1359819244.77657,1359819244.77657 
 01/01  08:00:00,59509921.940989,31176480.1048807,0.0,0.0,11542082.9949535,3641758.84115478,1149448861.80361,1149448861.80361 
 01/01  09:00:00,54354211.1380822,39170369.301974,0.0,0.0,11542082.9949535,3641758.84115478,1284222639.83463,1284222639.83463 
 01/01  10:00:00,43643340.4926163,28459498.656508,0.0,0.0,11542082.9949535,3641758.84115478,998748491.320938,998748491.320938 
 01/01  11:00:00,49358790.9024659,34174949.0663577,0.0,0.0,11542082.9949535,3641758.84115478,1045741557.37263,1045741557.37263 
 01/01  12:00:00,39680265.4117958,24496423.5756876,0.0,0.0,11542082.9949535,3641758.84115478,781105448.074453,781105448.074453 
 01/01  13:00:00,44857000.4533093,29673158.6172011,0.0,0.0,11542082.9949535,3641758.84115478,831856383.84969,831856383.84969 
 01/01  14:00:00,36958434.7533941,21774592.9172859,0.0,0.0,11542082.9949535,3641758.84115478,624647225.814541,624647225.814541 
 01/01  15:00:00,42532268.5679369,27348426.7318287,0.0,0.0,11542082.9949535,3641758.84115478,714525156.699401,714525156.699401 
 01/01  16:00:00,36423559.4170418,21239717.5809335,0.0,0.0,11542082.9949535,3641758.84115478,586057373.142245,586057373.142245 
 01/01  17:00:00,69073476.5971154,27590434.7610071,0.0,0.0,11542082.9949535,3641758.84115478,713569551.433771,713569551.433771 
 01/01  18:00:00,76293224.3552072,21660582.519099,0.0,0.0,11542082.9949535,3641758.84115478,603222247.80095,603222247.80095 
 01/01  19:00:00,83356704.4724129,28724062.6363047,0.0,0.0,11542082.9949535,3641758.84115478,765426071.337485,765426071.337485 
 01/01  20:00:00,76715980.5387326,22083338.7026243,0.0,0.0,11542082.9949535,3641758.84115478,616451797.899069,616451797.899069 
 01/01  21:00:00,82943787.2814092,28311145.445301,0.0,0.0,11542082.9949535,3641758.84115478,740161608.9985,740161608.9985 
 01/01  22:00:00,76504312.0631336,21871670.2270254,0.0,0.0,11542082.9949535,3641758.84115478,606885836.592232,606885836.592232 
 01/01  23:00:00,83010242.1204003,28377600.284292,0.0,0.0,11542082.9949535,3641758.84115478,743897872.364146,743897872.364146 
 01/01  24:00:00,76937314.4517988,22304672.6156905,0.0,0.0,11542082.9949535,3641758.84115478,629748531.539223,629748531.539223 
 01/02  01:00:00,84806027.9183085,30173386.0822002,0.0,0.0,11542082.9949535,3641758.84115478,835221395.928134,835221395.928134 
 01/02  02:00:00,78501204.5393883,23868562.7032801,0.0,0.0,11542082.9949535,3641758.84115478,718113291.183391,718113291.183391 
 01/02  03:00:00,85373548.2954912,30740906.459383,0.0,0.0,11542082.9949535,3641758.84115478,855540717.302595,855540717.302595 
 01/02  04:00:00,78425513.034828,23792871.1987198,0.0,0.0,11542082.9949535,3641758.84115478,712951456.672029,712951456.672029 
 01/02  05:00:00,84229722.2815039,29597080.4453957,0.0,0.0,11542082.9949535,3641758.84115478,793143819.206664,793143819.206664 
 01/02  06:00:00,76780645.0401323,22148003.204024,0.0,0.0,11542082.9949535,3641758.84115478,618060922.771942,618060922.771942 
 01/02  07:00:00,122256904.714966,67624262.8788573,0.0,0.0,11542082.9949535,3641758.84115478,832999622.288872,832999622.288872 
 01/02  08:00:00,145150989.064445,67624262.8788573,0.0,0.0,46168331.9798138,18208794.2057739,709753192.087166,709753192.087166 
 01/02  09:00:00,177552914.57277,67624262.8788573,0.0,0.0,80794580.9646742,29134070.7292382,635218490.136884,635218490.136884 
 01/02  10:00:00,204278839.403831,67624262.8788573,0.0,0.0,103878746.954581,32775829.570393,557553191.554742,557553191.554742 
 01/02  11:00:00,204278839.403831,67624262.8788573,0.0,0.0,103878746.954581,32775829.570393,483477450.186723,483477450.186723 
