Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,90422399.4918908,20084819.6098712,0.0,4195881.22530698,14886432.8816861,28085665.774743,557476968.63886,550297194.856419,7179773.78244113 
 01/01  02:00:00,94027537.1567505,23463124.0259137,0.0,6542123.091497,14886432.8816861,25966257.1575119,659913321.369853,655797256.659221,4116064.71063195 
 01/01  03:00:00,92725380.6304878,23383336.3147123,0.0,6379458.58515766,14886432.8816861,24906552.8488963,653322482.462372,651504235.741897,1818246.72047471 
 01/01  04:00:00,92331705.8008534,23503682.2380511,0.0,6395289.98649228,14886432.8816861,24376700.6945885,655891027.663792,654072781.022678,1818246.64111406 
 01/01  05:00:00,99762283.9594146,23460856.2933688,0.0,6393317.67777456,19471919.1836509,27266590.8044786,655961752.449246,651845689.660074,4116062.78917263 
 01/01  06:00:00,115826788.416152,23190290.4682137,0.0,6389383.09664302,27381883.05454,35695631.7957978,665101528.77901,643368890.158826,21732638.6201839 
 01/01  07:00:00,134692278.296318,22831871.0695626,0.0,6467588.48705302,29139652.8036266,53083565.9327438,706179852.039074,633129391.949688,73050460.089386 
 01/01  08:00:00,128449293.765348,22395292.3019068,0.0,6295410.94129692,27343670.6686903,64691719.8499096,697687241.306807,620041156.958584,77646084.3482224 
 01/01  09:00:00,111188937.759254,21523230.3017878,0.0,5545402.05394104,18898733.3959053,65221572.0042175,667806086.592717,593223753.315743,74582333.2769747 
 01/01  10:00:00,98180082.8615707,19808842.677179,0.0,4416009.40668877,16873476.9458708,57081753.8288549,605671841.819695,540280761.74081,65391080.0788844 
 01/01  11:00:00,84640124.8742757,17859243.4889734,0.0,3325506.73882789,16873476.9458708,46581897.69791,540412351.634199,481148773.687369,59263577.9468295 
 01/01  12:00:00,82537905.160346,16293869.7866331,0.0,2258808.57346223,16873476.9458708,47111749.8522178,482250276.857223,434475765.407996,47774511.4492265 
 01/01  13:00:00,80387725.7167874,15487373.9993763,0.0,1444977.07175172,16873476.9458708,46581897.69791,451695695.545036,410048686.227864,41647009.3171716 
 01/01  14:00:00,77512882.7774976,14845699.1847448,0.0,801365.410229482,16873476.9458708,44992341.2349867,427845177.711658,390793794.993527,37051382.7181304 
 01/01  15:00:00,76379185.6340501,14576770.6081796,0.0,466448.997867639,16873476.9458708,44462489.0806789,415317862.61802,382862106.498931,32455756.1190892 
 01/01  16:00:00,81258433.5343204,14595363.8926084,0.0,413069.58164865,20197954.5147953,46052045.5436022,420573994.478388,383522611.760258,37051382.7181304 
 01/01  17:00:00,123255848.230086,14347747.462937,0.0,390428.51256644,29101440.4177768,63969831.8348561,420073120.130786,376894235.280601,43178884.8501853 
 01/01  18:00:00,156760911.377746,13987070.2782377,0.0,502663.133063983,35865032.7131749,83236545.250682,424622987.171457,367657222.524148,56965764.6473089 
 01/01  19:00:00,165073248.191565,13948265.270223,0.0,714566.768450116,44004270.8991623,83236545.250682,434411934.512362,367488978.900464,66922955.6118982 
 01/01  20:00:00,161152346.228669,13745648.467567,0.0,485682.329881784,50003615.4775662,73747799.9507474,425264748.923562,361405544.377691,63859204.5458707 
 01/01  21:00:00,159498691.226376,13730822.3319966,0.0,431288.67874243,50538588.879462,71628391.3335163,419396686.889688,360899046.709366,58497640.1803226 
 01/01  22:00:00,139950149.790532,13844245.4409981,0.0,437927.813114015,38769174.0377525,63729202.4965049,411585224.540402,363810713.091176,47774511.4492265 
 01/01  23:00:00,115767177.012262,14454018.2544889,0.0,612307.443435515,26999759.196043,50531492.1164157,422210186.13268,380563176.815508,41647009.3171716 
 01/01  24:00:00,95539675.1476266,15184889.7876716,0.0,881366.702583986,18440184.7657088,37863633.8906343,424070417.54874,400805914.627733,23264502.9210068 
 01/02  01:00:00,84375097.0851444,16576977.9943185,0.0,1656420.43411299,14886432.8816861,28085665.774743,448377063.143167,441191115.881646,7185947.261522 
 01/02  02:00:00,82976194.4637536,17043019.5737904,0.0,1910884.85062335,14886432.8816861,25966257.1575119,458430135.865665,454309880.188497,4120255.67716785 
 01/02  03:00:00,81999616.3532354,17122716.7342686,0.0,1914313.88834896,14886432.8816861,24906552.8488963,457837076.882267,456017694.483029,1819382.39923847 
 01/02  04:00:00,81568203.8330686,17188447.624414,0.0,1947022.63234447,14886432.8816861,24376700.6945885,459373493.300289,457554080.160264,1819413.14002471 
 01/02  05:00:00,87701038.0881014,16387882.4101176,0.0,1405045.68971242,19471919.1836509,27266590.8044786,437321037.773093,433200037.799228,4120999.9738648 
 01/02  06:00:00,102982779.61921,15668170.7709615,0.0,1067493.99695261,27381883.05454,35695631.7957978,434043049.350728,412270883.117157,21772166.2335713 
